,artist,track,time,genre,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,month_entered,day_entered,month_peaked,day_peaked
10,N'Sync,It's Gonna Be Me,190,Rock'n'roll,82.0,70.0,51.0,39.0,26.0,19.0,15.0,9.0,7.0,7.0,5.0,4.0,1.0,1.0,3.0,4.0,6.0,10.0,13.0,15.0,18.0,23.0,28.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,29
11,"Aguilera, Christina",What A Girl Wants,198,Rock'n'roll,71.0,51.0,28.0,18.0,13.0,13.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,12.0,11.0,13.0,15.0,18.0,20.0,30.0,40.0,39.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27,1,15
12,Vertical Horizon,Everything You Want,241,Rock'n'roll,70.0,61.0,53.0,46.0,40.0,33.0,31.0,26.0,22.0,19.0,17.0,15.0,13.0,9.0,9.0,8.0,8.0,6.0,7.0,7.0,8.0,3.0,3.0,6.0,6.0,1.0,2.0,3.0,4.0,7.0,9.0,10.0,18.0,20.0,27.0,29.0,36.0,40.0,50.0,47.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,1,22,7,15
13,Creed,With Arms Wide Open,232,Rock'n'roll,84.0,78.0,76.0,74.0,70.0,68.0,74.0,75.0,69.0,74.0,70.0,79.0,84.0,86.0,76.0,62.0,45.0,29.0,19.0,11.0,10.0,7.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,9.0,12.0,13.0,13.0,17.0,22.0,26.0,28.0,37.0,41.0,,,,,,,,,,,,,,,,,,,5,13,11,11
14,Aaliyah,Try Again,243,Rock'n'roll,59.0,53.0,38.0,28.0,21.0,18.0,16.0,14.0,12.0,10.0,9.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,9.0,13.0,14.0,16.0,23.0,22.0,33.0,36.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,6,17
15,matchbox twenty,Bent,252,Rock,60.0,37.0,29.0,24.0,22.0,21.0,18.0,16.0,13.0,12.0,8.0,6.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,9.0,12.0,13.0,19.0,20.0,20.0,24.0,29.0,28.0,27.0,30.0,33.0,37.0,38.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,7,22
16,"Carey, Mariah",Thank God I Found You,254,Rock,82.0,68.0,50.0,50.0,41.0,37.0,26.0,22.0,22.0,2.0,1.0,2.0,4.0,13.0,21.0,28.0,43.0,57.0,82.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,2,19
17,"Hill, Faith",Breathe,244,Rap,81.0,68.0,62.0,51.0,42.0,35.0,28.0,28.0,28.0,43.0,30.0,23.0,23.0,21.0,21.0,21.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,8.0,11.0,13.0,14.0,18.0,22.0,23.0,22.0,24.0,30.0,31.0,31.0,38.0,39.0,42.0,49.0,49.0,48.0,47.0,,,,,,,,,,,,,11,6,4,22
18,Mya,Case Of The Ex (Whatcha Gonna Do),230,Rock'n'roll,72.0,57.0,52.0,47.0,42.0,31.0,24.0,18.0,17.0,17.0,17.0,10.0,9.0,9.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,11.0,15.0,19.0,24.0,23.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,12,2
19,Dream,He Loves U Not,223,Rock,99.0,92.0,81.0,59.0,47.0,42.0,32.0,27.0,18.0,18.0,11.0,8.0,5.0,2.0,2.0,3.0,3.0,3.0,7.0,9.0,10.0,11.0,10.0,19.0,23.0,28.0,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,12,30
20,"Braxton, Toni",He Wasn't Man Enough,261,Rock,63.0,55.0,48.0,39.0,35.0,24.0,3.0,2.0,2.0,4.0,4.0,5.0,11.0,12.0,16.0,15.0,14.0,14.0,12.0,10.0,11.0,13.0,13.0,13.0,15.0,16.0,14.0,13.0,17.0,19.0,23.0,29.0,37.0,33.0,34.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,5,6
21,"Anthony, Marc",You Sang To Me,230,Latin,77.0,54.0,50.0,43.0,30.0,27.0,21.0,18.0,15.0,13.0,13.0,13.0,13.0,5.0,2.0,2.0,5.0,7.0,9.0,12.0,12.0,16.0,20.0,20.0,22.0,25.0,26.0,29.0,35.0,33.0,40.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,6,3
22,98¡,Give Me Just One Night (Una Noche),204,Rock,51.0,39.0,34.0,26.0,26.0,19.0,2.0,2.0,3.0,6.0,7.0,22.0,29.0,36.0,47.0,67.0,66.0,84.0,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,9,30
23,Destiny's Child,Jumpin' Jumpin',228,Rock,74.0,71.0,65.0,62.0,57.0,50.0,40.0,37.0,22.0,18.0,13.0,8.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,6.0,8.0,10.0,15.0,24.0,30.0,35.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,8,19
24,3 Doors Down,Kryptonite,233,Rock,81.0,70.0,68.0,67.0,66.0,57.0,54.0,53.0,51.0,51.0,51.0,51.0,47.0,44.0,38.0,28.0,22.0,18.0,18.0,14.0,12.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,9.0,9.0,15.0,14.0,13.0,14.0,16.0,17.0,21.0,22.0,24.0,28.0,33.0,42.0,42.0,49.0,,,,,,,,,,,,,4,8,11,11
25,Sisqo,Thong Song,245,Rock'n'roll,74.0,63.0,35.0,26.0,26.0,23.0,20.0,16.0,13.0,10.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,8.0,13.0,17.0,24.0,31.0,43.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,5,20
26,"Aguilera, Christina",I Turn To You,240,Rock'n'roll,50.0,39.0,30.0,28.0,21.0,19.0,20.0,17.0,17.0,17.0,17.0,3.0,3.0,7.0,10.0,17.0,25.0,29.0,29.0,40.0,43.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,7,1
27,"Houston, Whitney",My Love Is Your Love,256,Rock'n'roll,81.0,68.0,44.0,16.0,11.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,10.0,10.0,11.0,20.0,22.0,27.0,34.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,1,8
28,Joe,I Wanna Know,297,Rock'n'roll,94.0,86.0,69.0,50.0,41.0,33.0,32.0,28.0,28.0,27.0,27.0,25.0,23.0,20.0,17.0,15.0,14.0,11.0,11.0,14.0,11.0,11.0,10.0,12.0,10.0,6.0,4.0,5.0,4.0,5.0,5.0,7.0,6.0,8.0,5.0,6.0,9.0,9.0,8.0,14.0,16.0,20.0,32.0,45.0,,,,,,,,,,,,,,,,,,,,,,1,1,7,1
29,"Jordan, Montell",Get It On.. Tonite,274,Rap,92.0,80.0,72.0,69.0,67.0,61.0,54.0,43.0,38.0,24.0,24.0,20.0,19.0,15.0,15.0,5.0,4.0,4.0,7.0,10.0,5.0,9.0,9.0,7.0,9.0,10.0,10.0,15.0,18.0,23.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23,2,12
30,N'Sync,Bye Bye Bye,195,Rock'n'roll,42.0,20.0,19.0,14.0,13.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,7.0,9.0,12.0,18.0,20.0,27.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,4,15
31,Eminem,The Real Slim Shady,282,Rap,70.0,32.0,20.0,16.0,11.0,7.0,6.0,4.0,5.0,4.0,8.0,9.0,16.0,30.0,49.0,68.0,83.0,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,24
32,Pink,Most Girls,246,Rock'n'roll,85.0,70.0,52.0,36.0,27.0,21.0,15.0,13.0,12.0,8.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,8.0,11.0,14.0,14.0,16.0,18.0,21.0,26.0,39.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,11,25
33,"Mumba, Samantha",Gotta Tell You,199,Rock'n'roll,85.0,72.0,65.0,49.0,39.0,25.0,20.0,10.0,9.0,8.0,6.0,5.0,7.0,4.0,6.0,7.0,13.0,17.0,17.0,23.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,12,9
34,Blaque,Bring It All To Me,226,Pop,73.0,63.0,50.0,42.0,24.0,19.0,17.0,14.0,11.0,9.0,9.0,9.0,10.0,5.0,5.0,6.0,8.0,9.0,15.0,15.0,18.0,17.0,18.0,19.0,19.0,22.0,26.0,32.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23,1,22
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,231,Rap,36.0,21.0,13.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,11.0,7.0,10.0,11.0,12.0,15.0,17.0,23.0,30.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27,1,8
36,"Gray, Macy",I Try,232,Rock'n'roll,68.0,51.0,47.0,36.0,30.0,20.0,15.0,12.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,10.0,11.0,14.0,16.0,16.0,16.0,21.0,27.0,34.0,40.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,5,20
37,N'Sync,This I Promise You,263,Rock,68.0,31.0,19.0,15.0,11.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,10.0,12.0,11.0,9.0,11.0,12.0,20.0,22.0,26.0,30.0,30.0,39.0,41.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,12,2
38,Ruff Endz,No More,236,Rock,76.0,38.0,19.0,17.0,12.0,15.0,12.0,10.0,7.0,5.0,8.0,8.0,10.0,12.0,14.0,15.0,19.0,23.0,21.0,18.0,19.0,22.0,23.0,24.0,33.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,9,2
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,234,Rock,74.0,62.0,55.0,25.0,16.0,14.0,12.0,10.0,12.0,9.0,7.0,6.0,6.0,6.0,8.0,9.0,13.0,19.0,23.0,26.0,32.0,34.0,45.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,18
40,Nine Days,Absolutely (Story Of A Girl),189,Rock,85.0,71.0,59.0,52.0,39.0,34.0,26.0,20.0,17.0,13.0,11.0,6.0,6.0,8.0,8.0,7.0,8.0,9.0,11.0,12.0,14.0,18.0,26.0,30.0,36.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,22
41,"Dion, Celine",That's The Way It Is,243,Rock,74.0,68.0,65.0,49.0,44.0,34.0,30.0,30.0,17.0,14.0,11.0,8.0,9.0,10.0,11.0,11.0,6.0,8.0,7.0,7.0,9.0,10.0,14.0,16.0,26.0,31.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,3,4
42,Blink-182,All The Small Things,172,Rock,89.0,76.0,69.0,59.0,59.0,51.0,50.0,35.0,26.0,15.0,7.0,6.0,8.0,8.0,9.0,11.0,14.0,16.0,18.0,23.0,33.0,41.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,2,19
43,Eiffel 65,Blue (Da Ba Dee),209,Electronica,67.0,29.0,16.0,16.0,13.0,11.0,9.0,6.0,7.0,9.0,13.0,19.0,21.0,24.0,32.0,42.0,56.0,60.0,76.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,1,29
44,"Badu, Erkyah",Bag Lady,303,Rock,67.0,53.0,42.0,41.0,48.0,42.0,34.0,6.0,9.0,9.0,8.0,11.0,15.0,21.0,26.0,29.0,26.0,38.0,56.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,10,7
45,Pink,There U Go,203,Rock,25.0,15.0,12.0,11.0,11.0,7.0,7.0,12.0,14.0,15.0,15.0,17.0,19.0,16.0,15.0,14.0,12.0,10.0,10.0,10.0,8.0,9.0,12.0,16.0,20.0,22.0,33.0,39.0,39.0,41.0,46.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,8
46,Creed,Higher,316,Rock'n'roll,81.0,77.0,73.0,63.0,61.0,58.0,56.0,52.0,56.0,57.0,57.0,57.0,57.0,57.0,60.0,61.0,61.0,57.0,60.0,61.0,,,,,,,,,43.0,41.0,34.0,28.0,25.0,23.0,22.0,16.0,16.0,18.0,14.0,13.0,13.0,11.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,12.0,14.0,16.0,17.0,17.0,21.0,26.0,29.0,32.0,39.0,39.0,43.0,47.0,50.0,50.0,49.0,9,11,7,22
47,Nelly,(Hot S**t) Country Grammar,257,Rap,100.0,99.0,96.0,76.0,55.0,37.0,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,9,16
48,Next,Wifey,243,Rock'n'roll,85.0,61.0,46.0,40.0,36.0,31.0,25.0,22.0,25.0,24.0,21.0,20.0,19.0,19.0,8.0,7.0,10.0,12.0,21.0,25.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,9,9
49,Kenny G,Auld Lang Syne (The Millenium Mix),470,Jazz,89.0,89.0,7.0,8.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,1,8
50,Sonique,It Feels So Good,228,Rock'n'roll,67.0,52.0,30.0,23.0,19.0,17.0,16.0,16.0,14.0,12.0,13.0,13.0,11.0,8.0,10.0,10.0,11.0,14.0,17.0,19.0,21.0,31.0,38.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,4,22
51,"Spears, Britney",Oops!.. I Did It Again,210,Rock'n'roll,67.0,38.0,26.0,19.0,15.0,13.0,12.0,9.0,9.0,10.0,14.0,15.0,17.0,24.0,35.0,49.0,77.0,85.0,90.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,6,10
52,"Backstreet Boys, The",Shape Of My Heart,229,Rock'n'roll,39.0,25.0,24.0,15.0,12.0,12.0,10.0,9.0,10.0,12.0,17.0,19.0,29.0,26.0,24.0,31.0,52.0,63.0,62.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,12,2
53,Everclear,Wonderful,270,Rock'n'roll,77.0,69.0,53.0,37.0,33.0,25.0,24.0,23.0,22.0,25.0,28.0,25.0,11.0,13.0,13.0,11.0,18.0,28.0,36.0,39.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,30
54,Ja Rule,Between Me And You,245,Rap,85.0,74.0,61.0,37.0,27.0,22.0,22.0,16.0,14.0,11.0,11.0,14.0,17.0,18.0,18.0,21.0,30.0,30.0,42.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,11,18
55,"Rimes, LeAnn",I Need You,222,Country,77.0,68.0,67.0,63.0,59.0,59.0,59.0,53.0,51.0,50.0,13.0,11.0,11.0,15.0,12.0,12.0,13.0,16.0,19.0,21.0,21.0,24.0,25.0,30.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,8,12
56,Smash Mouth,Then The Morning Comes,184,Rock'n'roll,83.0,59.0,56.0,46.0,27.0,23.0,19.0,16.0,14.0,14.0,16.0,15.0,12.0,11.0,13.0,17.0,20.0,23.0,24.0,25.0,27.0,31.0,33.0,35.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,1,29
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),230,Rap,58.0,45.0,35.0,26.0,23.0,19.0,14.0,14.0,13.0,11.0,12.0,12.0,12.0,15.0,15.0,19.0,24.0,28.0,29.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,12,30
58,Jagged Edge,Let's Get Married,263,Rock,77.0,66.0,55.0,45.0,38.0,42.0,33.0,29.0,28.0,26.0,23.0,15.0,11.0,14.0,14.0,17.0,20.0,20.0,21.0,23.0,24.0,29.0,36.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,29
59,Filter,Take A Picture,263,Rock,91.0,74.0,64.0,52.0,38.0,38.0,34.0,31.0,21.0,19.0,12.0,13.0,15.0,20.0,19.0,22.0,23.0,24.0,31.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27,2,5
60,"Martin, Ricky",She Bangs,242,Latin,38.0,28.0,21.0,21.0,18.0,16.0,13.0,13.0,12.0,20.0,22.0,29.0,43.0,54.0,55.0,73.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,12,2
61,Mystikal,Shake Ya Ass,286,Rap,97.0,90.0,65.0,41.0,34.0,25.0,22.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,17.0,19.0,24.0,30.0,42.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,10,28
62,BBMak,Back Here,215,Rock,99.0,86.0,60.0,52.0,38.0,34.0,28.0,21.0,18.0,18.0,19.0,15.0,18.0,13.0,16.0,15.0,16.0,16.0,17.0,15.0,18.0,17.0,16.0,22.0,24.0,30.0,36.0,37.0,42.0,45.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,7,29
63,"Spears, Britney",From The Bottom Of My Broken Heart,270,Rock,76.0,59.0,52.0,52.0,14.0,14.0,17.0,24.0,33.0,35.0,41.0,45.0,54.0,64.0,64.0,81.0,97.0,92.0,86.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,2,26
64,Third Eye Blind,Never Let You Go,237,Rock,65.0,32.0,25.0,24.0,23.0,22.0,22.0,21.0,19.0,16.0,14.0,16.0,16.0,17.0,18.0,21.0,22.0,25.0,27.0,33.0,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,4,1
65,Red Hot Chili Peppers,Otherside,253,Rock,80.0,72.0,65.0,52.0,51.0,49.0,40.0,37.0,32.0,29.0,29.0,29.0,29.0,24.0,18.0,14.0,15.0,16.0,19.0,22.0,29.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,5,27
66,Profyle,Liar,237,R&B,52.0,32.0,25.0,17.0,16.0,16.0,14.0,19.0,24.0,33.0,35.0,43.0,54.0,61.0,69.0,75.0,86.0,81.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,10,28
67,Barenaked Ladies,Pinch Me,226,Rock,77.0,76.0,69.0,45.0,51.0,37.0,33.0,29.0,26.0,25.0,16.0,15.0,15.0,19.0,19.0,20.0,22.0,20.0,21.0,34.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,11,25
68,Jagged Edge,He Can't Love U,210,Rock,54.0,32.0,17.0,17.0,15.0,18.0,18.0,18.0,18.0,25.0,24.0,24.0,26.0,33.0,44.0,51.0,53.0,65.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,1,8
69,504 Boyz,Wobble Wobble,215,Rap,57.0,34.0,25.0,17.0,17.0,31.0,36.0,49.0,53.0,57.0,64.0,70.0,75.0,76.0,78.0,85.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,5,6
70,Sting,Desert Rose,232,Rock,98.0,88.0,72.0,59.0,55.0,52.0,45.0,35.0,24.0,21.0,19.0,19.0,19.0,19.0,18.0,17.0,19.0,19.0,24.0,26.0,30.0,32.0,42.0,45.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,8,26
71,Jay-Z,Big Pimpin',235,Rap,69.0,52.0,39.0,33.0,28.0,25.0,25.0,23.0,20.0,19.0,21.0,18.0,20.0,20.0,26.0,29.0,35.0,33.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,7,8
72,Kid Rock,Only God Knows Why,327,Rock,63.0,47.0,46.0,39.0,35.0,26.0,26.0,23.0,19.0,19.0,21.0,25.0,25.0,29.0,32.0,44.0,52.0,62.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,4,15
73,Foo Fighters,Learn To Fly,235,Rock,80.0,69.0,68.0,63.0,60.0,52.0,42.0,32.0,30.0,25.0,22.0,22.0,26.0,20.0,19.0,20.0,26.0,30.0,35.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,1,22
74,"Dixie Chicks, The",Goodbye Earl,259,Country,40.0,29.0,24.0,24.0,20.0,20.0,20.0,19.0,38.0,61.0,86.0,88.0,96.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,5,6
75,Guy,Dancin',248,R&B,46.0,29.0,19.0,22.0,36.0,44.0,58.0,58.0,68.0,75.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,18,1,1
