,track,week,ranking,artist,time,genre,month_entered,day_entered,month_peaked,day_peaked
1277,"Maria, Maria",5,2.0,Santana,258,Rock,2,12,4,8
1915,"Maria, Maria",7,2.0,Santana,258,Rock,2,12,4,8
2234,"Maria, Maria",8,2.0,Santana,258,Rock,2,12,4,8
4487,You Sang To Me,15,2.0,"Anthony, Marc",230,Latin,2,26,6,3
4806,You Sang To Me,16,2.0,"Anthony, Marc",230,Latin,2,26,6,3
2253,He Wasn't Man Enough,8,2.0,"Braxton, Toni",261,Rock,3,18,5,6
2572,He Wasn't Man Enough,9,2.0,"Braxton, Toni",261,Rock,3,18,5,6
4480,Try Again,15,2.0,Aaliyah,243,Rock'n'roll,3,18,6,17
4799,Try Again,16,2.0,Aaliyah,243,Rock'n'roll,3,18,6,17
5118,Try Again,17,2.0,Aaliyah,243,Rock'n'roll,3,18,6,17
5437,Try Again,18,2.0,Aaliyah,243,Rock'n'roll,3,18,6,17
4162,Bent,14,2.0,matchbox twenty,252,Rock,4,29,7,22
4800,Bent,16,2.0,matchbox twenty,252,Rock,4,29,7,22
5119,Bent,17,2.0,matchbox twenty,252,Rock,4,29,7,22
8626,With Arms Wide Open,28,2.0,Creed,232,Rock'n'roll,5,13,11,11
8945,With Arms Wide Open,29,2.0,Creed,232,Rock'n'roll,5,13,11,11
13088,Amazed,42,2.0,Lonestar,265,Country,6,5,3,4
4152,Doesn't Really Matter,14,2.0,Janet,257,Rock,6,17,8,26
4471,Doesn't Really Matter,15,2.0,Janet,257,Rock,6,17,8,26
1922,Incomplete,7,2.0,Sisqo,232,Rock'n'roll,6,24,8,12
2879,Incomplete,10,2.0,Sisqo,232,Rock'n'roll,6,24,8,12
3198,Incomplete,11,2.0,Sisqo,232,Rock'n'roll,6,24,8,12
1279,Music,5,2.0,Madonna,225,Rock,8,12,9,16
2874,Music,10,2.0,Madonna,225,Rock,8,12,9,16
3193,Music,11,2.0,Madonna,225,Rock,8,12,9,16
3512,Music,12,2.0,Madonna,225,Rock,8,12,9,16
3831,Music,13,2.0,Madonna,225,Rock,8,12,9,16
4150,Music,14,2.0,Madonna,225,Rock,8,12,9,16
1936,Give Me Just One Night (Una Noche),7,2.0,98¡,204,Rock,8,19,9,30
2255,Give Me Just One Night (Una Noche),8,2.0,98¡,204,Rock,8,19,9,30
4803,Case Of The Ex (Whatcha Gonna Do),16,2.0,Mya,230,Rock'n'roll,8,19,12,2
5122,Case Of The Ex (Whatcha Gonna Do),17,2.0,Mya,230,Rock'n'roll,8,19,12,2
5441,Case Of The Ex (Whatcha Gonna Do),18,2.0,Mya,230,Rock'n'roll,8,19,12,2
6061,Independent Women Part I,20,2.0,Destiny's Child,218,Rock,9,23,11,18
4166,He Loves U Not,14,2.0,Dream,223,Rock,9,30,12,30
4485,He Loves U Not,15,2.0,Dream,223,Rock,9,30,12,30
4149,I Knew I Loved You,14,2.0,Savage Garden,247,Rock,10,23,1,29
5425,I Knew I Loved You,18,2.0,Savage Garden,247,Rock,10,23,1,29
6063,I Knew I Loved You,20,2.0,Savage Garden,247,Rock,10,23,1,29
7673,Breathe,25,2.0,"Hill, Faith",244,Rap,11,6,4,22
7992,Breathe,26,2.0,"Hill, Faith",244,Rap,11,6,4,22
8949,Breathe,29,2.0,"Hill, Faith",244,Rap,11,6,4,22
9268,Breathe,30,2.0,"Hill, Faith",244,Rap,11,6,4,22
10225,Breathe,33,2.0,"Hill, Faith",244,Rap,11,6,4,22
2882,What A Girl Wants,10,2.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
3201,What A Girl Wants,11,2.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
2887,Thank God I Found You,10,2.0,"Carey, Mariah",254,Rock,12,11,2,19
3525,Thank God I Found You,12,2.0,"Carey, Mariah",254,Rock,12,11,2,19
4791,Say My Name,16,2.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
5110,Say My Name,17,2.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
6711,Everything You Want,22,3.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
7030,Everything You Want,23,3.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
8625,Everything You Want,28,3.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
5129,Thong Song,17,3.0,Sisqo,245,Rock'n'roll,1,29,5,20
5448,Thong Song,18,3.0,Sisqo,245,Rock'n'roll,1,29,5,20
6086,Thong Song,20,3.0,Sisqo,245,Rock'n'roll,1,29,5,20
1596,"Maria, Maria",6,3.0,Santana,258,Rock,2,12,4,8
1934,He Wasn't Man Enough,7,3.0,"Braxton, Toni",261,Rock,3,18,5,6
5756,Try Again,19,3.0,Aaliyah,243,Rock'n'roll,3,18,6,17
4792,Be With You,16,3.0,"Iglesias, Enrique",216,Latin,4,1,6,24
9913,Kryptonite,32,3.0,3 Doors Down,233,Rock,4,8,11,11
10232,Kryptonite,33,3.0,3 Doors Down,233,Rock,4,8,11,11
10551,Kryptonite,34,3.0,3 Doors Down,233,Rock,4,8,11,11
3535,I Turn To You,12,3.0,"Aguilera, Christina",240,Rock'n'roll,4,15,7,1
3854,I Turn To You,13,3.0,"Aguilera, Christina",240,Rock'n'roll,4,15,7,1
4481,Bent,15,3.0,matchbox twenty,252,Rock,4,29,7,22
5438,Bent,18,3.0,matchbox twenty,252,Rock,4,29,7,22
4476,It's Gonna Be Me,15,3.0,N'Sync,190,Rock'n'roll,5,6,7,29
4489,Jumpin' Jumpin',15,3.0,Destiny's Child,228,Rock,5,13,8,19
5127,Jumpin' Jumpin',17,3.0,Destiny's Child,228,Rock,5,13,8,19
5446,Jumpin' Jumpin',18,3.0,Destiny's Child,228,Rock,5,13,8,19
5765,Jumpin' Jumpin',19,3.0,Destiny's Child,228,Rock,5,13,8,19
6084,Jumpin' Jumpin',20,3.0,Destiny's Child,228,Rock,5,13,8,19
7350,With Arms Wide Open,24,3.0,Creed,232,Rock'n'roll,5,13,11,11
7669,With Arms Wide Open,25,3.0,Creed,232,Rock'n'roll,5,13,11,11
7988,With Arms Wide Open,26,3.0,Creed,232,Rock'n'roll,5,13,11,11
9264,With Arms Wide Open,30,3.0,Creed,232,Rock'n'roll,5,13,11,11
9583,With Arms Wide Open,31,3.0,Creed,232,Rock'n'roll,5,13,11,11
9902,With Arms Wide Open,32,3.0,Creed,232,Rock'n'roll,5,13,11,11
12131,Amazed,39,3.0,Lonestar,265,Country,6,5,3,4
13407,Amazed,43,3.0,Lonestar,265,Country,6,5,3,4
4790,Doesn't Really Matter,16,3.0,Janet,257,Rock,6,17,8,26
5109,Doesn't Really Matter,17,3.0,Janet,257,Rock,6,17,8,26
2574,Give Me Just One Night (Una Noche),9,3.0,98¡,204,Rock,8,19,9,30
5760,Case Of The Ex (Whatcha Gonna Do),19,3.0,Mya,230,Rock'n'roll,8,19,12,2
6380,Independent Women Part I,21,3.0,Destiny's Child,218,Rock,9,23,11,18
4804,He Loves U Not,16,3.0,Dream,223,Rock,9,30,12,30
5123,He Loves U Not,17,3.0,Dream,223,Rock,9,30,12,30
5442,He Loves U Not,18,3.0,Dream,223,Rock,9,30,12,30
5440,Breathe,18,3.0,"Hill, Faith",244,Rap,11,6,4,22
5759,Breathe,19,3.0,"Hill, Faith",244,Rap,11,6,4,22
6716,Breathe,22,3.0,"Hill, Faith",244,Rap,11,6,4,22
7035,Breathe,23,3.0,"Hill, Faith",244,Rap,11,6,4,22
7354,Breathe,24,3.0,"Hill, Faith",244,Rap,11,6,4,22
8311,Breathe,27,3.0,"Hill, Faith",244,Rap,11,6,4,22
8630,Breathe,28,3.0,"Hill, Faith",244,Rap,11,6,4,22
9587,Breathe,31,3.0,"Hill, Faith",244,Rap,11,6,4,22
3520,What A Girl Wants,12,3.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
3839,What A Girl Wants,13,3.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
5429,Say My Name,18,3.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
8322,I Wanna Know,27,4.0,Joe,297,Rock'n'roll,1,1,7,1
8960,I Wanna Know,29,4.0,Joe,297,Rock'n'roll,1,1,7,1
8944,Everything You Want,29,4.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
3539,Bye Bye Bye,12,4.0,N'Sync,195,Rock'n'roll,1,29,4,15
3858,Bye Bye Bye,13,4.0,N'Sync,195,Rock'n'roll,1,29,4,15
4172,Thong Song,14,4.0,Sisqo,245,Rock'n'roll,1,29,5,20
4491,Thong Song,15,4.0,Sisqo,245,Rock'n'roll,1,29,5,20
4810,Thong Song,16,4.0,Sisqo,245,Rock'n'roll,1,29,5,20
5767,Thong Song,19,4.0,Sisqo,245,Rock'n'roll,1,29,5,20
2891,He Wasn't Man Enough,10,4.0,"Braxton, Toni",261,Rock,3,18,5,6
3210,He Wasn't Man Enough,11,4.0,"Braxton, Toni",261,Rock,3,18,5,6
6075,Try Again,20,4.0,Aaliyah,243,Rock'n'roll,3,18,6,17
3516,Be With You,12,4.0,"Iglesias, Enrique",216,Latin,4,1,6,24
8637,Kryptonite,28,4.0,3 Doors Down,233,Rock,4,8,11,11
8956,Kryptonite,29,4.0,3 Doors Down,233,Rock,4,8,11,11
9275,Kryptonite,30,4.0,3 Doors Down,233,Rock,4,8,11,11
9594,Kryptonite,31,4.0,3 Doors Down,233,Rock,4,8,11,11
10870,Kryptonite,35,4.0,3 Doors Down,233,Rock,4,8,11,11
5757,Bent,19,4.0,matchbox twenty,252,Rock,4,29,7,22
6395,Bent,21,4.0,matchbox twenty,252,Rock,4,29,7,22
6714,Bent,22,4.0,matchbox twenty,252,Rock,4,29,7,22
2264,The Real Slim Shady,8,4.0,Eminem,282,Rap,5,6,6,24
2902,The Real Slim Shady,10,4.0,Eminem,282,Rap,5,6,6,24
3519,It's Gonna Be Me,12,4.0,N'Sync,190,Rock'n'roll,5,6,7,29
4795,It's Gonna Be Me,16,4.0,N'Sync,190,Rock'n'roll,5,6,7,29
4170,Jumpin' Jumpin',14,4.0,Destiny's Child,228,Rock,5,13,8,19
4808,Jumpin' Jumpin',16,4.0,Destiny's Child,228,Rock,5,13,8,19
6403,Jumpin' Jumpin',21,4.0,Destiny's Child,228,Rock,5,13,8,19
6722,Jumpin' Jumpin',22,4.0,Destiny's Child,228,Rock,5,13,8,19
10221,With Arms Wide Open,33,4.0,Creed,232,Rock'n'roll,5,13,11,11
13726,Amazed,44,4.0,Lonestar,265,Country,6,5,3,4
14045,Amazed,45,4.0,Lonestar,265,Country,6,5,3,4
3517,Incomplete,12,4.0,Sisqo,232,Rock'n'roll,6,24,8,12
4470,Come On Over Baby (All I Want Is You),15,4.0,"Aguilera, Christina",218,Rock,8,5,10,14
4469,Music,15,4.0,Madonna,225,Rock,8,12,9,16
4817,Most Girls,16,4.0,Pink,246,Rock'n'roll,8,12,11,25
6079,Case Of The Ex (Whatcha Gonna Do),20,4.0,Mya,230,Rock'n'roll,8,19,12,2
6398,Case Of The Ex (Whatcha Gonna Do),21,4.0,Mya,230,Rock'n'roll,8,19,12,2
6717,Case Of The Ex (Whatcha Gonna Do),22,4.0,Mya,230,Rock'n'roll,8,19,12,2
7036,Case Of The Ex (Whatcha Gonna Do),23,4.0,Mya,230,Rock'n'roll,8,19,12,2
5769,My Love Is Your Love,19,4.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
4180,Gotta Tell You,14,4.0,"Mumba, Samantha",199,Rock'n'roll,9,9,12,9
2554,I Knew I Loved You,9,4.0,Savage Garden,247,Rock,10,23,1,29
2873,I Knew I Loved You,10,4.0,Savage Garden,247,Rock,10,23,1,29
3192,I Knew I Loved You,11,4.0,Savage Garden,247,Rock,10,23,1,29
3830,I Knew I Loved You,13,4.0,Savage Garden,247,Rock,10,23,1,29
6382,I Knew I Loved You,21,4.0,Savage Garden,247,Rock,10,23,1,29
5133,Get It On.. Tonite,17,4.0,"Jordan, Montell",274,Rap,10,23,2,12
5452,Get It On.. Tonite,18,4.0,"Jordan, Montell",274,Rap,10,23,2,12
6078,Breathe,20,4.0,"Hill, Faith",244,Rap,11,6,4,22
6397,Breathe,21,4.0,"Hill, Faith",244,Rap,11,6,4,22
9906,Breathe,32,4.0,"Hill, Faith",244,Rap,11,6,4,22
4158,What A Girl Wants,14,4.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
3844,Thank God I Found You,13,4.0,"Carey, Mariah",254,Rock,12,11,2,19
8641,I Wanna Know,28,5.0,Joe,297,Rock'n'roll,1,1,7,1
9279,I Wanna Know,30,5.0,Joe,297,Rock'n'roll,1,1,7,1
9598,I Wanna Know,31,5.0,Joe,297,Rock'n'roll,1,1,7,1
10874,I Wanna Know,35,5.0,Joe,297,Rock'n'roll,1,1,7,1
2263,Bye Bye Bye,8,5.0,N'Sync,195,Rock'n'roll,1,29,4,15
2582,Bye Bye Bye,9,5.0,N'Sync,195,Rock'n'roll,1,29,4,15
2901,Bye Bye Bye,10,5.0,N'Sync,195,Rock'n'roll,1,29,4,15
3220,Bye Bye Bye,11,5.0,N'Sync,195,Rock'n'roll,1,29,4,15
3853,Thong Song,13,5.0,Sisqo,245,Rock'n'roll,1,29,5,20
958,"Maria, Maria",4,5.0,Santana,258,Rock,2,12,4,8
4183,I Try,14,5.0,"Gray, Macy",232,Rock'n'roll,2,19,5,20
4168,You Sang To Me,14,5.0,"Anthony, Marc",230,Latin,2,26,6,3
5125,You Sang To Me,17,5.0,"Anthony, Marc",230,Latin,2,26,6,3
3529,He Wasn't Man Enough,12,5.0,"Braxton, Toni",261,Rock,3,18,5,6
6394,Try Again,21,5.0,Aaliyah,243,Rock'n'roll,3,18,6,17
6713,Try Again,22,5.0,Aaliyah,243,Rock'n'roll,3,18,6,17
3197,Be With You,11,5.0,"Iglesias, Enrique",216,Latin,4,1,6,24
7999,Kryptonite,26,5.0,3 Doors Down,233,Rock,4,8,11,11
8318,Kryptonite,27,5.0,3 Doors Down,233,Rock,4,8,11,11
11189,Kryptonite,36,5.0,3 Doors Down,233,Rock,4,8,11,11
11508,Kryptonite,37,5.0,3 Doors Down,233,Rock,4,8,11,11
6076,Bent,20,5.0,matchbox twenty,252,Rock,4,29,7,22
2583,The Real Slim Shady,9,5.0,Eminem,282,Rap,5,6,6,24
3200,It's Gonna Be Me,11,5.0,N'Sync,190,Rock'n'roll,5,6,7,29
7031,With Arms Wide Open,23,5.0,Creed,232,Rock'n'roll,5,13,11,11
10540,With Arms Wide Open,34,5.0,Creed,232,Rock'n'roll,5,13,11,11
10859,With Arms Wide Open,35,5.0,Creed,232,Rock'n'roll,5,13,11,11
11178,With Arms Wide Open,36,5.0,Creed,232,Rock'n'roll,5,13,11,11
11497,With Arms Wide Open,37,5.0,Creed,232,Rock'n'roll,5,13,11,11
14364,Amazed,46,5.0,Lonestar,265,Country,6,5,3,4
2876,Doesn't Really Matter,10,5.0,Janet,257,Rock,6,17,8,26
3836,Incomplete,13,5.0,Sisqo,232,Rock'n'roll,6,24,8,12
4155,Incomplete,14,5.0,Sisqo,232,Rock'n'roll,6,24,8,12
2909,No More,10,5.0,Ruff Endz,236,Rock,7,1,9,2
3222,Most Girls,11,5.0,Pink,246,Rock'n'roll,8,12,11,25
3541,Most Girls,12,5.0,Pink,246,Rock'n'roll,8,12,11,25
3860,Most Girls,13,5.0,Pink,246,Rock'n'roll,8,12,11,25
4498,Most Girls,15,5.0,Pink,246,Rock'n'roll,8,12,11,25
4493,My Love Is Your Love,15,5.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
4812,My Love Is Your Love,16,5.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
5131,My Love Is Your Love,17,5.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
5450,My Love Is Your Love,18,5.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
3542,Gotta Tell You,12,5.0,"Mumba, Samantha",199,Rock'n'roll,9,9,12,9
2233,Independent Women Part I,8,5.0,Destiny's Child,218,Rock,9,23,11,18
2908,This I Promise You,10,5.0,N'Sync,263,Rock,9,30,12,2
3847,He Loves U Not,13,5.0,Dream,223,Rock,9,30,12,30
4181,Bring It All To Me,14,5.0,Blaque,226,Pop,10,23,1,22
4500,Bring It All To Me,15,5.0,Blaque,226,Pop,10,23,1,22
4814,Get It On.. Tonite,16,5.0,"Jordan, Montell",274,Rap,10,23,2,12
6409,Get It On.. Tonite,21,5.0,"Jordan, Montell",274,Rap,10,23,2,12
5121,Breathe,17,5.0,"Hill, Faith",244,Rap,11,6,4,22
10544,Breathe,34,5.0,"Hill, Faith",244,Rap,11,6,4,22
1949,Hot Boyz,7,5.0,"Elliott, Missy ""Misdemeanor""",231,Rap,11,27,1,8
5748,Say My Name,19,5.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
6067,Say My Name,20,5.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
6386,Say My Name,21,5.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
3548,Show Me The Meaning Of Being Lonely,12,6.0,"Backstreet Boys, The",234,Rock,1,1,3,18
3867,Show Me The Meaning Of Being Lonely,13,6.0,"Backstreet Boys, The",234,Rock,1,1,3,18
4186,Show Me The Meaning Of Being Lonely,14,6.0,"Backstreet Boys, The",234,Rock,1,1,3,18
8003,I Wanna Know,26,6.0,Joe,297,Rock'n'roll,1,1,7,1
10236,I Wanna Know,33,6.0,Joe,297,Rock'n'roll,1,1,7,1
11193,I Wanna Know,36,6.0,Joe,297,Rock'n'roll,1,1,7,1
5435,Everything You Want,18,6.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
7349,Everything You Want,24,6.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
7668,Everything You Want,25,6.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
1944,Bye Bye Bye,7,6.0,N'Sync,195,Rock'n'roll,1,29,4,15
4177,Bye Bye Bye,14,6.0,N'Sync,195,Rock'n'roll,1,29,4,15
4496,Bye Bye Bye,15,6.0,N'Sync,195,Rock'n'roll,1,29,4,15
3215,Thong Song,11,6.0,Sisqo,245,Rock'n'roll,1,29,5,20
3534,Thong Song,12,6.0,Sisqo,245,Rock'n'roll,1,29,5,20
639,"Maria, Maria",3,6.0,Santana,258,Rock,2,12,4,8
3864,I Try,13,6.0,"Gray, Macy",232,Rock'n'roll,2,19,5,20
4502,I Try,15,6.0,"Gray, Macy",232,Rock'n'roll,2,19,5,20
3842,Try Again,13,6.0,Aaliyah,243,Rock'n'roll,3,18,6,17
7032,Try Again,23,6.0,Aaliyah,243,Rock'n'roll,3,18,6,17
2878,Be With You,10,6.0,"Iglesias, Enrique",216,Latin,4,1,6,24
7042,Kryptonite,23,6.0,3 Doors Down,233,Rock,4,8,11,11
7361,Kryptonite,24,6.0,3 Doors Down,233,Rock,4,8,11,11
7680,Kryptonite,25,6.0,3 Doors Down,233,Rock,4,8,11,11
3524,Bent,12,6.0,matchbox twenty,252,Rock,4,29,7,22
7033,Bent,23,6.0,matchbox twenty,252,Rock,4,29,7,22
1945,The Real Slim Shady,7,6.0,Eminem,282,Rap,5,6,6,24
3549,Absolutely (Story Of A Girl),12,6.0,Nine Days,189,Rock,5,6,7,22
3868,Absolutely (Story Of A Girl),13,6.0,Nine Days,189,Rock,5,6,7,22
5114,It's Gonna Be Me,17,6.0,N'Sync,190,Rock'n'roll,5,6,7,29
3851,Jumpin' Jumpin',13,6.0,Destiny's Child,228,Rock,5,13,8,19
7041,Jumpin' Jumpin',23,6.0,Destiny's Child,228,Rock,5,13,8,19
7679,Jumpin' Jumpin',25,6.0,Destiny's Child,228,Rock,5,13,8,19
14683,Amazed,47,6.0,Lonestar,265,Country,6,5,3,4
4179,Most Girls,14,6.0,Pink,246,Rock'n'roll,8,12,11,25
5136,Most Girls,17,6.0,Pink,246,Rock'n'roll,8,12,11,25
2893,Give Me Just One Night (Una Noche),10,6.0,98¡,204,Rock,8,19,9,30
2277,Bag Lady,8,6.0,"Badu, Erkyah",303,Rock,8,19,10,7
3855,My Love Is Your Love,13,6.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
4174,My Love Is Your Love,14,6.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
6088,My Love Is Your Love,20,6.0,"Houston, Whitney",256,Rock'n'roll,9,4,1,8
3223,Gotta Tell You,11,6.0,"Mumba, Samantha",199,Rock'n'roll,9,9,12,9
4499,Gotta Tell You,15,6.0,"Mumba, Samantha",199,Rock'n'roll,9,9,12,9
1632,This I Promise You,6,6.0,N'Sync,263,Rock,9,30,12,2
2589,This I Promise You,9,6.0,N'Sync,263,Rock,9,30,12,2
3227,This I Promise You,11,6.0,N'Sync,263,Rock,9,30,12,2
4819,Bring It All To Me,16,6.0,Blaque,226,Pop,10,23,1,22
2235,I Knew I Loved You,8,6.0,Savage Garden,247,Rock,10,23,1,29
3511,I Knew I Loved You,12,6.0,Savage Garden,247,Rock,10,23,1,29
5145,That's The Way It Is,17,6.0,"Dion, Celine",243,Rock,11,13,3,4
3551,All The Small Things,12,6.0,Blink-182,172,Rock,12,4,2,19
2276,Blue (Da Ba Dee),8,6.0,Eiffel 65,209,Electronica,12,11,1,29
3229,Show Me The Meaning Of Being Lonely,11,7.0,"Backstreet Boys, The",234,Rock,1,1,3,18
9917,I Wanna Know,32,7.0,Joe,297,Rock'n'roll,1,1,7,1
5754,Everything You Want,19,7.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
6073,Everything You Want,20,7.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
9263,Everything You Want,30,7.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
1625,Bye Bye Bye,6,7.0,N'Sync,195,Rock'n'roll,1,29,4,15
4815,Bye Bye Bye,16,7.0,N'Sync,195,Rock'n'roll,1,29,4,15
6405,Thong Song,21,7.0,Sisqo,245,Rock'n'roll,1,29,5,20
2907,I Try,10,7.0,"Gray, Macy",232,Rock'n'roll,2,19,5,20
3226,I Try,11,7.0,"Gray, Macy",232,Rock'n'roll,2,19,5,20
3545,I Try,12,7.0,"Gray, Macy",232,Rock'n'roll,2,19,5,20
5444,You Sang To Me,18,7.0,"Anthony, Marc",230,Latin,2,26,6,3
1640,There U Go,6,7.0,Pink,203,Rock,3,4,4,8
1959,There U Go,7,7.0,Pink,203,Rock,3,4,4,8
6723,Kryptonite,22,7.0,3 Doors Down,233,Rock,4,8,11,11
4173,I Turn To You,14,7.0,"Aguilera, Christina",240,Rock'n'roll,4,15,7,1
6427,(Hot S**t) Country Grammar,21,7.0,Nelly,257,Rap,4,29,9,16
6746,(Hot S**t) Country Grammar,22,7.0,Nelly,257,Rap,4,29,9,16
1626,The Real Slim Shady,6,7.0,Eminem,282,Rap,5,6,6,24
4825,Absolutely (Story Of A Girl),16,7.0,Nine Days,189,Rock,5,6,7,22
2562,It's Gonna Be Me,9,7.0,N'Sync,190,Rock'n'roll,5,6,7,29
2881,It's Gonna Be Me,10,7.0,N'Sync,190,Rock'n'roll,5,6,7,29
7360,Jumpin' Jumpin',24,7.0,Destiny's Child,228,Rock,5,13,8,19
6712,With Arms Wide Open,22,7.0,Creed,232,Rock'n'roll,5,13,11,11
4833,Wifey,16,7.0,Next,243,Rock'n'roll,5,27,9,9
