,company,description,location,post_date,salary,title,temp,city,temp1,state
10,Child Trends,Selects appropriate statistical techniques to analyze collected data. Participates in interpreting data from policy and program perspectives....,"Bethesda, MD 20814",16 days ago,,"Research Scientist - Early Childhood, NC","[u'Bethesda', u' MD 20814']",Bethesda,[u' MD 20814'],MD
11,RiverPoint,Think creatively about and develop solutions for technical problems related to data extraction and data creation....,Missouri,23 hours ago,,Data Scientist,[u'Missouri'],Missouri,[],
12,Reed Elsevier,Text and data mining. Bring active experience in to the organization on extraction text and data information from structured and unstructured data....,"Philadelphia, PA",6 days ago,,Junior Data Scientist,"[u'Philadelphia', u' PA']",Philadelphia,[u' PA'],PA
13,Panton,"We are a team of highly skilled professionals, data scientists, and developers. Work with Panton’s world-class data science team to convert data into meaningful...","Houston, TX",1 day ago,,Data Scientist,"[u'Houston', u' TX']",Houston,[u' TX'],TX
14,Acttovia,Build new markets thru data scraping and aggregating. Review present data structures to ensure maximum benefit and create automation when applicable....,"Township of Jackson, NJ",13 hours ago,,Data Scientist,"[u'Township of Jackson', u' NJ']",Township of Jackson,[u' NJ'],NJ
15,Jornaya,"Drawing from multiple data sources, the Data Scientist will develop data products and customized solutions including predictive models, optimization algorithms,...","Philadelphia, PA",7 days ago,,Data Scientist,"[u'Philadelphia', u' PA']",Philadelphia,[u' PA'],PA
16,Medlytic,"We are looking for a data scientist who sees waste and unlocked value in EMR data, and is passionate about breaking down these barriers to improve healthcare....","San Francisco, CA",5 days ago,"<nobr>$110,000 a year</nobr>",Data Scientist / Bioinformatics (co-founder),"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
17,BeaconTech Inc,"We have multiple needs open for Data Scientists to help create innovative solutions for our a great client in Green Bay, Wisconsin....","Green Bay, WI",11 hours ago,,Data Scientist,"[u'Green Bay', u' WI']",Green Bay,[u' WI'],WI
18,Twitter,Ability to navigate large sets of data to tell meaningful stories. Execute and interpret data analyses that quantify the behaviors of users exposed to...,"San Francisco, CA 94103 (South Of Market area)",3 days ago,,Research Analyst,"[u'San Francisco', u' CA 94103 (South Of Market area)']",San Francisco,[u' CA 94103 (South Of Market area)'],CA
19,kWh Analytics,Experience in weather data is a strong plus. A track record of spotting relevant trends in noisy data sets. Pivoting quickly from one data analysis project to...,"San Francisco, CA 94104 (Financial District area)",7 days ago,"<nobr>$120,000 a year</nobr>",Data Scientist,"[u'San Francisco', u' CA 94104 (Financial District area)']",San Francisco,[u' CA 94104 (Financial District area)'],CA
20,Paperless Post,"Decision science and data analytics. You’ll lead a team of six data scientists, developing a roadmap of initiatives that improve our decision-making, business...","New York, NY",5 days ago,,Director of Data Science and Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY
21,iCube CSI,"Databases, data mapping, data validation, and data transformation. This role will have experience querying and analyzing large data sets using traditional...","Job, WV",2 days ago,,Data Scientist,"[u'Job', u' WV']",Job,[u' WV'],WV
22,Spreemo,"As a Senior Data Scientist at Spreemo, you will work with a growing multidisciplinary team of talented Data Scientists, Statisticians, Healthcare Economists...","New York, NY 10012 (Little Italy area)",1 day ago,,Senior Data Scientist,"[u'New York', u' NY 10012 (Little Italy area)']",New York,[u' NY 10012 (Little Italy area)'],NY
23,Salt Lake Community College,"Ability to perform advanced statistical analysis on complex multi-dimensional and hierarchically structured data, including using techniques from areas such as...","Salt Lake City, UT",13 days ago,,Statistical Researcher,"[u'Salt Lake City', u' UT']",Salt Lake City,[u' UT'],UT
24,Northwell Health,"As an Applications Analyst, you will participate in the design, development and implementation of healthcare applications. In this role, you will serve as an","Manhasset, NY",14 days ago,,"Applications Analyst (R Programming, Data Analysis & SQL ski...","[u'Manhasset', u' NY']",Manhasset,[u' NY'],NY
25,Veear Projects,Data Scientist ( Remote/Onsite )*. Mentor other data scientists and engineers. You will work with this team to create training and evaluation data sets....,"San Mateo, CA",14 hours ago,,Data Scientist,"[u'San Mateo', u' CA']",San Mateo,[u' CA'],CA
26,Voxpro,_The Forecasting Data Scientist focuses on maintaining and improving contact volume and staffing forecasts for all departments within the contact centers....,"Palo Alto, CA",12 hours ago,,Forecasting Data Scientist,"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
27,Dia&Co,"You are a data science Ph.D. Can write code for data analysis and producing results (e.g. In a relevant field, with knowledge of statistics, recommendation...","New York, NY",29 days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
28,"Pandora Media, Inc.",Minimum two years managing scientists. Lead research and development activities across data science team. Want to manage Pandora's world class machine learning...,"Oakland, CA",30+ days ago,,"Manager of Research, User Engagement","[u'Oakland', u' CA']",Oakland,[u' CA'],CA
29,Talent Solvers,"The applications apply advanced machine learning to recommend actions based on real-time analysis of petabyte-scale data sets, dozens of enterprise and...",United States,7 days ago,,Data Scientist,[u'United States'],United States,[],
30,South Florida Water Management,"This position may be filled as a Scientist 4. This will include analysis of existing data, fulfilling state and federal reporting requirements and publishing...","West Palm Beach, FL",13 hours ago,"<nobr>$71,282 a year</nobr>",Scientist Senior,"[u'West Palm Beach', u' FL']",West Palm Beach,[u' FL'],FL
31,Kabbage,"Strong background/experience with ETL, data mining, statistical analysis, data processing with very large amounts of data....","San Francisco, CA",1 day ago,,Chief Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
32,Avalance,"Background in mining large sets of data. Interest in cybersecurity, product development and data visualization....",Remote,8 days ago,,Data Scientist,[u'Remote'],Remote,[],
33,About.com,"As a Senior Data Scientist, you will be responsible for using unique datasets to drive insights and innovation across the company....","New York, NY 10018 (Clinton area)",2 hours ago,,Senior Data Scientist,"[u'New York', u' NY 10018 (Clinton area)']",New York,[u' NY 10018 (Clinton area)'],NY
34,Tapad,Tapad is looking for an experienced Data Scientist to join our Engineering team. The Data Scientist will work on expanding and developing the core of our...,"New York, NY",16 days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
35,Stonehenge Inc,Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and provide new...,"Rockville Centre, NY",16 days ago,,Data Scientist,"[u'Rockville Centre', u' NY']",Rockville Centre,[u' NY'],NY
36,MD Insider,"Reporting to the Director of Healthcare Analytics, the *Data Scientist*. Liaise with Healthcare experts to enhance traditional methods by applying big data...","Santa Monica, CA 90405",9 days ago,,Data Scientist,"[u'Santa Monica', u' CA 90405']",Santa Monica,[u' CA 90405'],CA
37,Tesla Motors,"Work with Business Analysts, Application Developers and Data Scientists to implement solutions using agile methodologies....","Fremont, CA 94538 (Irvington area)",4 days ago,,Senior Data Engineer,"[u'Fremont', u' CA 94538 (Irvington area)']",Fremont,[u' CA 94538 (Irvington area)'],CA
38,"23andMe, Inc.","Effective graphical presentation of data. If using big genotype data and phenotypic survey analyses excites you, and if solving for the clinical significance of...","Salt Lake City, UT",1 day ago,,Genetic Variant Classification Statistician,"[u'Salt Lake City', u' UT']",Salt Lake City,[u' UT'],UT
39,Orbis Technologies,"Orbis Technologies, Inc., a growing software development company specializing in cloud based data analytical products, has a career opportunity in Annapolis,...","Annapolis, MD 21401",9 days ago,,Data Scientist,"[u'Annapolis', u' MD 21401']",Annapolis,[u' MD 21401'],MD
40,EventBoard,The RoleWe’re growing fast and need a top notch data analyst or data scientist to join our team. You’ll be diving into the data to derive and deliver valuable...,"Salt Lake City, UT",8 days ago,,Data Scientist,"[u'Salt Lake City', u' UT']",Salt Lake City,[u' UT'],UT
41,Oliver James Associates,We are currently looking for an brilliant data scientist to utilize massive datasets in a leading insurance firm....,"New York, NY",12 days ago,"<nobr>$170,000 - $200,000 a year</nobr>",Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
42,SecurityScorecard,You're a seasoned Data Scientist who loves difficult data problems and enjoy cyber security challenges. We are looking for an accomplished Data Scientist with...,"New York, NY",29 days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
43,S&P Global Ratings,Research and resolve data maintenance requests related to Corporate & Government and Structured Finance ratings data....,"New York, NY 10002 (Lower East Side area)",12 days ago,,Statistician,"[u'New York', u' NY 10002 (Lower East Side area)']",New York,[u' NY 10002 (Lower East Side area)'],NY
44,Lawrence Berkeley National Laboratory,"Perform data processing and preliminary data analysis. Assist with data analysis or data plots for presentations, proposals, and publications....","Berkeley, CA",5 days ago,,Isotope Geochemistry Research Associate (Energy Geosciences),"[u'Berkeley', u' CA']",Berkeley,[u' CA'],CA
45,Crisis Text Line,Chief Data Scientist. The Data Scientist's role at Crisis Text Line is to support staff in making smarter decisions through data....,"New York, NY",13 days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
46,IdentityMind Global,"As a Data Scientist, you would be working closely between our Product, Engineering, and Sales teams. Experience in data visualization with tools such as Tableau...","Palo Alto, CA",5 days ago,,Data Scientist,"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
47,ektello,6-MONTH CONTRACT TO HIRE Technical experience in Deep Learning (academic or professional) Mathematics Degree REQUIRED Job Type: Full-time Required,"Farmington Hills, MI",7 days ago,,Data Scientist,"[u'Farmington Hills', u' MI']",Farmington Hills,[u' MI'],MI
48,Tilting Point,The Data Scientist will also work to ensure accurate data reporting. The Data Scientist will play a key role in analyzing data and communicating insights that...,"New York, NY",30+ days ago,,Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
49,Lifetouch,Unstructured data techniques. Manage the data and work with data cleansing algorithms to improve the fidelity of the data....,"Eden Prairie, MN",5 days ago,,Data Scientist,"[u'Eden Prairie', u' MN']",Eden Prairie,[u' MN'],MN
50,MOJA,MOJA is seeking a Data Scientist to support the deployment and evolution of a core web application and data workflow supporting the customer....,"McLean, VA",7 days ago,,Data Scientist,"[u'McLean', u' VA']",McLean,[u' VA'],VA
51,Capgemini,"Our Data Scientists come from all sorts of backgrounds, but all share the same characteristics; Good knowledge of various database systems from which data...","Atlanta, GA",1 hour ago,,Data Science Consultant,"[u'Atlanta', u' GA']",Atlanta,[u' GA'],GA
52,South Florida Water Management District,"This position may be filled as a Scientist 4. This will include analysis of existing data, fulfilling state and federal reporting requirements and publishing...","West Palm Beach, FL 33406",11 hours ago,"<nobr>$59,966 a year</nobr>",Scientist Senior,"[u'West Palm Beach', u' FL 33406']",West Palm Beach,[u' FL 33406'],FL
53,Spokeo,Leverage data munging approaches and handle imperfections in data:. Data mining approaches:. Spokeo’s Product team is looking for a Data Scientist to join us in...,"Pasadena, CA",8 days ago,,Data Scientist,"[u'Pasadena', u' CA']",Pasadena,[u' CA'],CA
54,Caerus Associates,Caerus is seeking an experienced data scientist to support a groundbreaking research team of social and computer scientists developing tools to support engaged...,"Arlington, VA",6 days ago,,Data Scientist,"[u'Arlington', u' VA']",Arlington,[u' VA'],VA
55,Spotify,"You have experience with a range of data science techniques including clustering, machine learning, and network analysis....","New York, NY 10011 (Chelsea area)",30+ days ago,,Research Lead / Data Scientist,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY
56,x.ai,"A Data Scientist will. Familiar with data structures, parallelism and concurrency. Be capable of visualizing and communicating data science concepts to other...","New York, NY 10004 (Financial District area)",26 days ago,,Data Scientist,"[u'New York', u' NY 10004 (Financial District area)']",New York,[u' NY 10004 (Financial District area)'],NY
57,MDRG Inc.,"Analysis (includes coding and cleaning data; Research design (methodology, sample plan, data collection plan)....","New Orleans, LA",19 days ago,,Quantitative Research Analyst,"[u'New Orleans', u' LA']",New Orleans,[u' LA'],LA
58,University of Oklahoma,"Skills in analyzing data with Nvivo, SPSS, Access, HLM, MPlus. May conduct research, analyze data, disseminate and/or publish research....","Tulsa, OK",6 days ago,"<nobr>$80,000 - $85,000 a year</nobr>",ECEI Senior Research and Policy Associate,"[u'Tulsa', u' OK']",Tulsa,[u' OK'],OK
59,McCallie Associates,Working with subject matter experts (SME)s to define data requirements for data collection purposes. Validating the effectiveness of data collection for post...,"Nellis AFB, NV",28 days ago,,USAMS III - Data Analysis Subject Matter Expert,"[u'Nellis AFB', u' NV']",Nellis AFB,[u' NV'],NV
60,Vida,"Working knowledge of distributed systems and big data processing pipelines. Define, research, experiment, prototype, design, code, test, deploy, maintain, and...","San Francisco, CA 94110 (Mission area)",7 days ago,,"Scientist, Data Science","[u'San Francisco', u' CA 94110 (Mission area)']",San Francisco,[u' CA 94110 (Mission area)'],CA
61,2U,"This leadership role will encompass leading a team of experienced data scientists, engineers and analysts to deliver novel data and machine intelligence backed...","Landover, MD",1 day ago,,"SVP, Data Science, Infrastructure and Analytics","[u'Landover', u' MD']",Landover,[u' MD'],MD
62,Columbia University,"It is expected that the applicant will present his/her laboratory data at regular data meetings, review papers for journal club, present in local seminars, send...","New York, NY 10032 (Washington Heights area)",30+ days ago,,Associate Research Scientist,"[u'New York', u' NY 10032 (Washington Heights area)']",New York,[u' NY 10032 (Washington Heights area)'],NY
63,General Dynamics - Information Technology,Performs data analysis; Ensures the integrity of project data; Provides guidance and work leadership to less experienced Data Analysts;...,"Huntsville, AL",9 days ago,,"Principal Analyst, Data","[u'Huntsville', u' AL']",Huntsville,[u' AL'],AL
64,Knowesis Inc.,"A qualified data scientist will have hands-on experience with one or more analytic platforms - COGNOS, SAS, Tableau, PowerBI or SAS....","Arlington, VA 22201 (Lyon Village area)",8 days ago,,Human Capital and EEO Data Scientist/Architect,"[u'Arlington', u' VA 22201 (Lyon Village area)']",Arlington,[u' VA 22201 (Lyon Village area)'],VA
65,"Leavitt Partners, LLC","Leavitt Partners, LLC is seeking to hire a full-time research analyst in our Salt Lake City, UT office. This position will perform detailed research in the","Salt Lake City, UT 84111 (Central City area)",7 hours ago,,Research Analyst,"[u'Salt Lake City', u' UT 84111 (Central City area)']",Salt Lake City,[u' UT 84111 (Central City area)'],UT
66,"Alambic Investment Management, LP","We are a small, entrepreneurial San Francisco-based quantitative investment firm looking for an addition to our research staff, ideally a PhD-level engineer,...","San Francisco, CA 94111 (Financial District area)",8 days ago,,Data Scientist / Engineer,"[u'San Francisco', u' CA 94111 (Financial District area)']",San Francisco,[u' CA 94111 (Financial District area)'],CA
67,Celgene,"Work with R&ED study teams to develop R&ED information management plans that outline data capture, data flow, data queries, manual checks, and data listings...","Summit, NJ 07901",23 days ago,,Sr. Data Scientist,"[u'Summit', u' NJ 07901']",Summit,[u' NJ 07901'],NJ
68,DBRS,"Lead Data Scientist, US RMBS. The Lead Data Scientist role is a unique and exciting opportunity to take on global ownership of the mortgage modeling process....","New York, NY 10005 (Financial District area)",21 days ago,,"Lead Data Scientist, US RMBS","[u'New York', u' NY 10005 (Financial District area)']",New York,[u' NY 10005 (Financial District area)'],NY
69,"GeoControl Systems, Inc.","Data collection, reduction and analysis. Experience collecting data on test subjects. III....","Houston, TX",8 days ago,,Research Scientist,"[u'Houston', u' TX']",Houston,[u' TX'],TX
70,Kingland Systems Corporation,Continue to enhance data quality over time on new and existing data through continual data clean-up efforts....,"Ames, IA 50014",14 days ago,,Data Research Analyst Internship,"[u'Ames', u' IA 50014']",Ames,[u' IA 50014'],IA
71,GlaxoSmithKline,"Medicinal chemistry, toxicology, DMPK, high content imaging and/or screening data analysis. Communicating data analysis and modeling results to the...","Collegeville, PA 19426",1 hour ago,,Computational Molecular Design and Data Science,"[u'Collegeville', u' PA 19426']",Collegeville,[u' PA 19426'],PA
72,Penn State University,"The successful candidate must have experience with relational databases, data cleansing and transformation, data validation, and handling large datasets....","University Park, PA",15 days ago,,Market Research Data Analyst,"[u'University Park', u' PA']",University Park,[u' PA'],PA
73,"Anthem, Inc.",DATA SCIENTIST or DATA SCIENTIST LEAD. Intermediate to Advanced knowledge of data extraction and manipulation using SQL....,"Chicago, IL 60601 (Loop area)",5 days ago,,Data Scientist or Data Scientist Lead(Healthcare)-115937,"[u'Chicago', u' IL 60601 (Loop area)']",Chicago,[u' IL 60601 (Loop area)'],IL
74,Humana,Big Data – Machine Learning Expert / Principal Data Scientist. Machine Learning Expert / Principal Data Scientist....,"Irving, TX",9 days ago,,Big Data – Machine Learning Expert / Principal Data Scientis...,"[u'Irving', u' TX']",Irving,[u' TX'],TX
75,OnboardIQ,"Excellent communication skills, communicating with diverse teams including Data scientists, Data engineers, product managers, and executive management....","San Francisco, CA",10 days ago,,Algorithm and Data Scientist (Machine Learning),"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
76,Wiley,"Wiley is a provider of content-enabled solutions that improve outcomes in research, education, and professional practice. Our core businesses produce","Hoboken, NJ",14 hours ago,,Sr. Business Analyst (Research),"[u'Hoboken', u' NJ']",Hoboken,[u' NJ'],NJ
77,Color Genomics,"We are looking for a motivated, proactive data scientist who will have a strong impact in one or more areas such as helping Color reach a broader market,...","Burlingame, CA",17 days ago,,Data Scientist,"[u'Burlingame', u' CA']",Burlingame,[u' CA'],CA
78,MLB Advanced Media,"As a Senior Data Scientist at MLBAM, you will be a hands-on lead for data science in the organization. 2+ years of professional experience as a Data Scientist...","New York, NY 10011 (Chelsea area)",20 days ago,,Senior Data Scientist,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY
79,Univera Healthcare,"Ultimately, Data Scientists work closely with various stakeholders across the Corporation to turn data into meaningful insights that is then used to make sound...","Buffalo, NY",5 days ago,,Data Scientist I/II/III,"[u'Buffalo', u' NY']",Buffalo,[u' NY'],NY
80,Demandbase,"As the Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract data...","San Francisco, CA",7 days ago,,Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
81,Excellus BlueCross BlueShield,"Ultimately, Data Scientists work closely with various stakeholders across the Corporation to turn data into meaningful insights that is then used to make sound...","Buffalo, NY",5 days ago,,Data Scientist I/II/III,"[u'Buffalo', u' NY']",Buffalo,[u' NY'],NY
82,EBay,Do you thrive on developing data mining techniques to pull insight out of large data sets. Proficient with data stores like SQL and Hadoop....,"San Jose, CA",8 days ago,,Senior Applied Researcher/Data Scientist,"[u'San Jose', u' CA']",San Jose,[u' CA'],CA
83,Core Digital Media,"Be involved with problem definition, data exploration, data acquisition and visualization, feature algorithms, evaluating and comparing metrics, deploying...","Playa Vista, CA",6 days ago,,Data Scientist,"[u'Playa Vista', u' CA']",Playa Vista,[u' CA'],CA
84,Quintiles Transnational,"Whether you are beginning or continuing your career as a programmer, this role is an ideal stepping-stone. You will have training and development to plan and",United States,19 hours ago,,Statistical Programmer 1 - Officebased Overland Park Kansas,[u'United States'],United States,[],
85,Mesh Recruiting,Take an active role in the development of strategies and marketing tests to improve marketing performance by translating quantitative findings to practical data...,"Louisville, KY 40229",9 days ago,"<nobr>$90,000 a year</nobr>",Data Scientist,"[u'Louisville', u' KY 40229']",Louisville,[u' KY 40229'],KY
86,Department Of Education,"Analyze data of extreme complexity largely through Federal Student Aid’s Enterprise Data Warehouse (EDW), a 40-terabyte system of financial transactions and...","Washington, DC",10 days ago,"<nobr>$92,145 - $141,555 a year</nobr>","Statistician (Predictive Analytics), GS-1530-13/14(DE)","[u'Washington', u' DC']",Washington,[u' DC'],DC
87,Umpqua Bank,You have demonstrated experience as a data scientist working with broad requirements to deliver commercially applicable analytics....,"Palo Alto, CA",19 days ago,"<nobr>$100,000 - $160,000 a year</nobr>",Pivotus - Data Scientist - Palo Alto,"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
88,WebMD,Provide data analysis and facilitate comprehension of data to the Business Intelligence user community. This position will work closely with other departments...,"New York, NY",16 days ago,,"Team Lead, Data Analysis","[u'New York', u' NY']",New York,[u' NY'],NY
89,"Smith Micro Software, Inc.",Must have experience with data mining and data modeling techniques for use in machine learning and real time analytical systems....,"Pittsburgh, PA 15237",15 days ago,,Data Scientist,"[u'Pittsburgh', u' PA 15237']",Pittsburgh,[u' PA 15237'],PA
90,Storm8,"5+ years of work experience, preferably as data scientist or in highly analytical role. 3-5 years of work experience, preferably as a data scientist or in...","Redwood City, CA 94065",15 days ago,,Senior Data Scientist,"[u'Redwood City', u' CA 94065']",Redwood City,[u' CA 94065'],CA
91,Charles River Analytics,"A record of managing geographically dispersed teams of scientists, engineers, and subcontractors. Charles River Analytics is looking for a Senior Scientist to...","Cambridge, MA 02138 (West Cambridge area)",7 days ago,,Sr. Scientist,"[u'Cambridge', u' MA 02138 (West Cambridge area)']",Cambridge,[u' MA 02138 (West Cambridge area)'],MA
92,Jetlore,We are looking for an exceptional data scientist who is excited to work on challenging problems involving massive amount of data....,"Sunnyvale, CA",30+ days ago,,​Data Scientist,"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
93,San Diego Pharmaceutical,"Team lead position, proven ability work independently and mentor junior scientists. Reports and treats data with a high level of integrity and ethics....","Memphis, TN",1 day ago,,Analytical Scientist (San Diego),"[u'Memphis', u' TN']",Memphis,[u' TN'],TN
94,Averity,Are you a Senior Data Scientist excited about the thought of starting a Data Science group in the arts and entertainment world?...,"New York, NY",13 days ago,"<nobr>$150,000 a year</nobr>",Senior Data Scientist ($150k),"[u'New York', u' NY']",New York,[u' NY'],NY
95,Etsy,"Love data science, but don’t have to be a data scientist. Working with fuzzy data sets. We’re always digging into large data sets and gleaning signal from noise...","Brooklyn, NY 11201",14 days ago,,"Senior Product Manager, Search Sciences","[u'Brooklyn', u' NY 11201']",Brooklyn,[u' NY 11201'],NY
96,University of Iowa - Information Technology Servic...,"Assistant Research Scientist (PRJ1):. Data mining, exploration, and visualization. The University of Iowa Informatics Initiative (UI3) in partnership with...","Iowa City, IA 52242",12 days ago,"<nobr>$75,000 a year</nobr>",Data Scientist / Computational Scientist,"[u'Iowa City', u' IA 52242']",Iowa City,[u' IA 52242'],IA
97,Eliza Corporation,Extract data from disparate data sources and migrate to our internal Datamart for processing. As a Data Scientist you will apply statistical modeling and...,"Danvers, MA 01923",18 days ago,,Data Scientist,"[u'Danvers', u' MA 01923']",Danvers,[u' MA 01923'],MA
98,PlaceIQ,"Experience with Hadoop/Big Data paradigms. From building data pipelines to regression models/classification algorithms, complex data visualizations to...","New York, NY",22 days ago,,Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY
99,"eAudit, LLC","MS/PhD and/or 3+ years data science related experience. The Data Scientist will collaborate with with our product team to develop the architecture, strategy and...","Greenville, NC 27858",21 days ago,,Data Scientist,"[u'Greenville', u' NC 27858']",Greenville,[u' NC 27858'],NC
100,Career Path Group,Insurance Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and...,"Long Beach, NY 11561",20 days ago,,Data Scientist & Analytics Developer,"[u'Long Beach', u' NY 11561']",Long Beach,[u' NY 11561'],NY
101,PeopleScout,This is a software engineering position to work on our Big Data platform (We need you to have experience in Big Data) Software development will involve making...,"Raleigh-Durham, NC",7 days ago,"<nobr>$130,000 a year</nobr>",Machine Learning - Big Data,"[u'Raleigh-Durham', u' NC']",Raleigh-Durham,[u' NC'],NC
102,Squarespace,"Explore data, communicate findings, and develop ways to help people throughout the company use the data they need....","New York, NY 10014 (West Village area)",22 days ago,,Data Scientist,"[u'New York', u' NY 10014 (West Village area)']",New York,[u' NY 10014 (West Village area)'],NY
103,Trajecoire Capital,"Responsibilities Develop and use quantitative factor analysis to understand portfolios (hedge funds, long only…) performance drivers (beta, style premia, alpha","Miami, FL",15 days ago,,Quantitative Analyst,"[u'Miami', u' FL']",Miami,[u' FL'],FL
104,SciMetrika,Life-table analysis of epidemiological data. ScitoVation scientist have earned a reputation for developing and applying state-of-the-art modeling techniques...,"Research Triangle Park, NC 27709",21 days ago,,Statistical Modeler,"[u'Research Triangle Park', u' NC 27709']",Research Triangle Park,[u' NC 27709'],NC
105,PAREXEL International,"The Senior Statistical Programmer is an excellent opportunity for Programmers to show case their leadership skills; utilize, advice, and mentor their",United States,5 days ago,,Senior Statistical Programmer (Home Based),[u'United States'],United States,[],
106,Optima Health,"Manage primary and secondary research projects, and report and analyze data on competitors, consumers, clients and agents....","Virginia Beach, VA 23462 (Northwest area)",26 days ago,,Research Analyst,"[u'Virginia Beach', u' VA 23462 (Northwest area)']",Virginia Beach,[u' VA 23462 (Northwest area)'],VA
107,Tumblr,"We are seeking a veteran Data Scientist, well-versed in data analysis and algorithm implementation, ready to be let loose on Tumblr’s many terabytes of data....","New York, NY",30+ days ago,,Sr. Data Scientist - User & Product Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY
108,BlueLabs,"Familiarity with loading and manipulating data in SQL databases. Data pipelines, single page web apps, web services....","Washington, DC",8 days ago,,Software Engineer - Digital Analytics Team,"[u'Washington', u' DC']",Washington,[u' DC'],DC
109,Google,Data Scientists are changing the world one technological achievement after another. You weave stories with meaningful insight from data....,"San Bruno, CA",1 day ago,,"Product Analyst, Data Sciences","[u'San Bruno', u' CA']",San Bruno,[u' CA'],CA
110,"Zachary Piper, LLC","Analyze code to find causes of errors and revise programs such as SDTM data sets, ADaM data sets, and programming Macros....","Durham, NC",5 days ago,"<nobr>$60,000 - $80,000 a year</nobr>",Statistical Programmer,"[u'Durham', u' NC']",Durham,[u' NC'],NC
111,ASCAP,"The Lead Data Scientist will work collaboratively to design the next generation of unique data capabilities on behalf of ASCAP members, licensees and executives...","New York, NY",15 days ago,,Lead Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
