,company,description,post_date,title,city,state,range_low,range_high,salary_avg
19,Wright State University,5% – Prepare clearly articulated experimental reports and data presentations. Perform research and technology development activities in support of WSU / WSARC...,17,Senior Experimental Scientist,Dayton,OH,185000.0,,185000.0
20,Intensity,"Help capture and analyze data. We are a team of economists, statisticians, data scientists, and segment specialists -- in short, really smart people who like...",4,Quantitative Modeler,San Diego,CA,,,
21,Pearson,"+ Data analysis for differentrequirements. *Research Scientist R&D \- Speech Recognition, ML**. We are seeking a very bright and talented **R&D Research...",2,"Research Scientist R&D - Speech Recognition, ML",Menlo Park,CA,,,
22,Markit Financial Info Service,"Daily activities include data processing monitoring, generating client reports, researching client inquiries and educating clients....",2,Quantitative Analyst,New York,NY,,,
23,kWh Analytics,Experience in weather data is a strong plus. A track record of spotting relevant trends in noisy data sets. Pivoting quickly from one data analysis project to...,10,Data Scientist,San Francisco,CA,120000.0,,120000.0
24,Excellus BlueCross BlueShield,"Ultimately, Data Scientists work closely with various stakeholders across the Corporation to turn data into meaningful insights that is then used to make sound...",9,Data Scientist I/II/III,Buffalo,NY,,,
25,Univera Healthcare,"Ultimately, Data Scientists work closely with various stakeholders across the Corporation to turn data into meaningful insights that is then used to make sound...",8,Data Scientist I/II/III,Buffalo,NY,,,
26,JOOR,"Our team is comprised of Data Specialists, Data Analysts, and Data Scientists. About the Data Services Team:....",8,Director of Data Services - NEW YORK,New York,NY,,,
27,Allegheny Science & Technology,"Understanding of Data Management, Data Storage and Data Analysis. AST is seeking Junior Data Scientist supporting a customer in the Intelligence Community....",16,Junior Data Scientist,Bethesda,MD,,,
28,Markit,"Daily activities include data processing monitoring, generating client reports, researching client inquiries and educating clients....",3,Quantitative Analyst,New York,NY,,,
29,PlaceIQ,"Experience with Hadoop/Big Data paradigms. From building data pipelines to regression models/classification algorithms, complex data visualizations to...",25,Data Engineer,New York,NY,,,
30,Google,Data Scientists are changing the world one technological achievement after another. You weave stories with meaningful insight from data....,5,"Product Analyst, Data Sciences",San Bruno,CA,,,
31,"Xyant Technology, Inc.",Data Scientist with CRISP-DM methodology. Identify and prioritize enterprise data analytics opportunities. Strong knowledge of business intelligence and data...,2,Data Scientist with CRISP-DM methodology,Lowell,AR,,,
32,eTemp,"High growth company focused on using data science to transform the way individuals are hired, is looking for an inventive, collaborative, methodologically...",11,Mid - Senior Level Data Scientist,New York,NY,,,
33,Google,"Please note that this position is the same as Data Scientist. 1 year of relevant work experience (i.e., data scientist role), including deep expertise and...",5,"Statistician/Quantitative Analyst, Engineering",Pittsburgh,PA,,,
34,Celgene,"Work with R&ED study teams to develop R&ED information management plans that outline data capture, data flow, data queries, manual checks, and data listings...",26,Sr. Data Scientist,Summit,NJ,,,
35,Barclays,"Use knowledge of stochastic calculus, probability theory, and bond mathematics to collect and analyze data used to formulate and apply mathematical modeling and...",19,VP - Quantitative Analyst,New York,NY,,,
36,Airbnb,Work with data scientists to develop a scalable data visualization platform. Help data scientists optimize productionized Pig and Hive queries....,13,Data Engineer,San Francisco,CA,,,
37,NBCUniversal,"Help business analysts, application engineers, data scientists, etc., leverage the appropriate tools, solutions, and/or processes as part of their data mining,...",11,"Data Engineer, Analytics Technology",New York,NY,,,
38,Capgemini,"Our Data Scientists come from all sorts of backgrounds, but all share the same characteristics; Good knowledge of various database systems from which data...",3,Data Science Consultant,Atlanta,GA,,,
39,FM Global,"PhD or Masters degree in Data Science, Statistics, Economics, Econometrics, Operations Research, or other relevant analytics fields Business experience in...",12,Sr. Research Scientist Data Science Analytics,Norwood,MA,,,
40,Northwestern University,Completes data cleaning and organizes data files for analysis. Performs data analysis using statistical techniques....,9,Research Data Analyst,Chicago,IL,,,
41,Nexant,Projects commonly involve the analysis of hourly energy consumption data for hundreds of thousands (if not millions) of utility customers....,10,Analyst I – Quantitative/Statistical,San Francisco,CA,,,
42,Celmatix,We seek a Senior Data Scientist with deep expertise working with large clinical datasets to join our growing statistical / machine learning team....,11,Senior Data Scientist,New York,NY,,,
43,Planet Pharma,Recording data in electronic notebooks. The contractor position is in the Labelled Compound Synthesis group within Process Chemistry....,2,Scientist II,Rahway,NJ,,,
44,AppNexus,"At AppNexus, our data is our life line - we can only be as good as our data, and great data is critical for business success....",30,"Senior Software Engineer, Data Science",New York,NY,,,
45,Google,The Data Infrastructure & Analysis (DIA) team builds end-to-end data processing systems that serve the data management and analysis needs of all applications in...,5,Data Infrastructure & Analysis Software Engineer,Mountain View,CA,,,
46,Cimpress,"Enabling of data driven Paid Search optimisation utilizing data science & machine learning; Locating, accessing and merging data from different data sources via...",3,"Data Scientist, R or Python Developer, Paid Search",Waltham,MA,,,
47,"Miracle Software Systems, Inc.",The Visual Data Scientist & Data analyst positions discover and curate new and existing data sources to create solutions for the business....,22,Data Scientists,Dearborn,MI,,,
48,Vistaprint,"Enabling of data driven Paid Search optimisation utilizing data science & machine learning; Locating, accessing and merging data from different data sources via...",3,"Data Scientist, R or Python Developer, Paid Search",Waltham,MA,,,
49,JPMorgan Chase,"Senior Data Scientist (VP) - Wholesale Solutions.  Data frame software such as Pandas. The JPMIS Senior Data Scientist is responsible for developing, testing...",30,Senior Data Scientist (VP) - Wholesale Solutions,New York,NY,,,
50,EY,FIDS - Forensic Technology & Discovery Services - Data Scientist Manager. The role of the Forensic Technology & Discovery Services (“FTDS”) Data Scientist...,25,FIDS - Forensic Technology & Discovery Services - Data Scien...,New York,NY,,,
51,The Nielsen Company,Exceptional aptitude for data analysis. Leverage both qualitative and quantitative data when pursuing analytic insight....,1,Research Analyst,New York,NY,,,
52,Capital Group,"Based in New York or Los Angeles, as a Senior Data Scientist, you should be experienced with and passionate about using data to drive business strategy,...",1,Senior Data Scientist,New York,NY,,,
53,Oliver James Associates,We are currently looking for an brilliant data scientist to utilize massive datasets in a leading insurance firm....,15,Data Scientist,New York,NY,170000.0,200000.0,185000.0
54,"Global Resource Solutions, Inc.","Research Data Analyst – Data Management. (GRS) is seeking an enthusiastic, motivated and talented individual for the position of Research Data Analyst – Data...",3,16178B - Research Data Analyst/Data Management,Washington,DC,,,
55,Supervalu,The Data Scientist will apply computer science and. Generate data when training or example data sets are unavailable....,11,Associate Data Scientist I/II - Eden Prairie MN,Eden Prairie,MN,,,
56,Google,"Expertise in data structures, algorithms and complexity analysis. Many aspiring Computer Scientists could benefit from a program that bridges the gap between...",5,"Engineering Resident, University Graduate (Fixed Term Employ...",New York,NY,,,
57,Northrop Grumman,"Manage a development of fact table structures, cubes, and datamarts, coordination with the data architect and data stewards related to data quality and source...",1,Business Intelligence/Data Analyst V-9217,Schriever AFB,CO,,,
58,Barclays,"Experience of working with advanced modelling data. 5+ years of SAS/SQL experience with ability to manipulate large data sets, automate monthly processes and...",10,Data Analysis Lead,Wilmington,DE,,,
59,Amazon Robotics LLC,Superior communication and data presentation skills. As a Research Scientist in the Amazon Robotics Movement Team you will develop algorithms to coordinate the...,3,Research Scientist - Movement Team,North Reading,MA,,,
60,BlueLabs,"Familiarity with loading and manipulating data in SQL databases. Data pipelines, single page web apps, web services....",11,Software Engineer - Digital Analytics Team,Washington,DC,,,
61,Leidos,Data Analyst / Statistician :. Comprehend and analyze data results and to present data in laymen’s terms....,11,Data Analyst / Statistician,San Diego,CA,,,
62,Xaxis,Mentor less-experienced members of the team toward becoming better data scientists. The Xaxis Product and Engineering organization is seeking an experienced...,24,Senior Data Scientist,New York,NY,,,
63,Medlytic,"We are looking for a data scientist who sees waste and unlocked value in EMR data, and is passionate about breaking down these barriers to improve healthcare....",8,Data Scientist / Bioinformatics (co-founder),San Francisco,CA,110000.0,,110000.0
64,Aescentia,"Work with data scientists to provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to fulfill customer requirements...",17,Analytics Solutions Leader,Phoenix,AZ,,,
65,Everyday Health,"BI Data Analyst. Data pipeline, from sourcing to warehouse to final data product. Proprietary data mining technology leverages hundreds of terabytes of data to....",30,BI Data Analyst,New York,NY,,,
66,Braxton Science & Technology Group,"Manage data collected during GPS testing, data processing tools utilized, and data products created that will be utilized during subsequent data analysis....",29,Data Analysts,San Diego,CA,,,
67,Staples,"Data analytics methods, data sources, and/or technology. Data scientists in other departments to conduct analysis and research. Large data sets....",10,Senior Insight Analyst,Framingham,MA,,,
68,Alere,"Provide data summaries, written reports and oral presentations to executives. The scientist will perform studies focused on the design, screening, development...",8,Scientist /Senior Scientist - Assay Development,San Diego,CA,,,
69,General Dynamics - Information Technology,Performs data analysis; Ensures the integrity of project data; Provides guidance and work leadership to less experienced Data Analysts;...,12,"Principal Analyst, Data",Huntsville,AL,,,
70,New York University College of Dentistry,"JUNIOR RESEARCH SCIENTIST*. Uses computers for word processing, data acquisition and statistical analysis....",17,JUNIOR RESEARCH SCIENTIST McDevitt Research Laboratory,New York,NY,,,
71,Google,"From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in...",5,"Research Scientist, Machine Learning and Intelligence",New York,NY,,,
72,"Truven Health Analytics, an IBM Company","Work collaboratively with data scientists, clinicians, and other experts to ensure that methodologies meet the stated business requirements....",3,Methodologist (Data Analytics SME),Ann Arbor,MI,,,
73,"Bio-Rad, Inc.",Leading groups of scientists and technicians as needed in R&D. We are looking for a senior R&D scientist to join our growing group in next-generation sequencing...,14,Staff Scientist (Senior R&D Scientist),Pleasanton,CA,,,
74,AmerisourceBergen,Data Scientist / Business Analyst I. Maintains user confidence and protects operations by keeping data and information confidential....,22,Jr. Data Scientist / Business Analyst I,Frisco,TX,,,
75,Mesh Recruiting,Take an active role in the development of strategies and marketing tests to improve marketing performance by translating quantitative findings to practical data...,13,Data Scientist,Louisville,KY,90000.0,,90000.0
76,University of Iowa - Information Technology Servic...,"Assistant Research Scientist (PRJ1):. Data mining, exploration, and visualization. The University of Iowa Informatics Initiative (UI3) in partnership with...",15,Data Scientist / Computational Scientist,Iowa City,IA,75000.0,,75000.0
77,Google,"Data scientist role), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models and...",5,"Quantitative Analyst/Statistician, Engineering, University G...",Mountain View,CA,,,
78,Centers for Disease Control and Prevention,"Population-based and vital statistics data collected by the organization. And demographic techniques, execute the analysis of data, and interpret results....",2,Statistician (Demography),Hyattsville,MD,77490.0,100736.0,89113.0
79,Covance,"Highly skilled in conducting research, data interpretations and writing reports. Education/Qualifications The Required Education for the Principal Scientist...",7,Principal Scientist,Indianapolis,IN,,,
80,NinthDecimal,"Prepare data sets for targeting, reporting and data science research. Expert in data warehousing solutions in multi-billion records data size....",1,Data Analyst,Mount View,WI,,,
81,L-3 Communications,Are you a data scientist or software engineer who loves automating the distillation of massive amounts of data down into understandable nuggets of information?...,2,Data Analytics Engineer,Rockwall,TX,,,
82,JPMorgan Chase,"Data Scientist - New York, NY. This includes a balance of marketing/campaign optimization, data wrangling and data science....",19,"Digital Marketing – Sr. Data Scientist - New York, NY",New York,NY,,,
83,Rutgers University,"Senior Scientist (Research Computing - STEM). Reporting to the Director of Advanced Computing Research and Methods, under the Associate Vice President for...",30,Senior Scientist (Research Computing - STEM),Newark,NJ,108777.0,,108777.0
84,Aon,Fixed Income Research Analyst 2418312 Full-time IL-Chicago Consulting Group Description Aon Is Looking For A Fixed Income Research Analyst. As part of,9,Fixed Income Research Analyst,Chicago,IL,,,
85,Google,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking...",5,"Software Engineer, Machine Learning",San Francisco,CA,,,
86,Impact Radius,"We currently have vacancies for a Data Scientist, a BI Engineer, a Technology Operations Analyst and a Customer Support Specialist....",6,Business and Science Graduates,Santa Barbara,CA,,,
87,Novavax,"Ability to critically analyze data using statistical tools and to compile technical reports. Excellent record keeping abilities to adequately record, analyze...",3,"Senior Scientist, Analytical Development (Immunoassay)",Gaithersburg,MD,,,
88,M&T Bank,Senior Research Analyst - Wilmington Trust Investment Advisors - 3D81X Description : Senior Research Analyst Wilmington Trust Investment Advisors,26,Senior Research Analyst - Wilmington Trust Investment Adviso...,Wilmington,DE,,,
89,"Ocean Media, LLC",Downloads data files monthly for archives. The assistant works with a variety of data for both internal and external use and generate charts and graphs to aid...,2,Assistant Research Analyst,Huntington Beach,CA,,,
90,S&P Global Ratings,"Exposure to one or more data discovery, data visualization tools. Developing predictive algorithms based on historical data....",30,Director - Innovation Lab Data Scientist,New York,NY,,,
91,"Amyris, Inc.","Associate Scientist, HTS. Specific responsibilities include preparation of reagents, attending team meetings, tracking and processing of samples, operation of...",2,"Associate Scientist, HTS",Emeryville,CA,,,
92,Brookfield Global Relocation Services,Ability to analyze numerical data and provide recommendations for improvements. Assists the Director with developing and maintaining reports to mine pertinent...,4,Predictive Labour Modeling & Workforce Planning Analyst,Scottsdale,AZ,,,
93,Comcast,"Gathers data on competitors; Collects, examines, and analyzes statistical data using computer. Gathers and analyzes data to identify consumer demographics,...",2,Research Analyst,Golden Valley,MN,,,
94,Walmart,"Certificate in business analytics, data mining, or statistical analysis. We are looking for talented and driven people interested in working together to build a...",8,Quantitative Risk Analyst,Bentonville,AR,,,
95,Biorad,"Fluent with data analysis software. Collects, analyzes/interprets, and summarizes technical data into concise reports that includes recommendations....",17,Scientist or Senior Scientist,Woodinville,WA,,,
96,"The Ohio State University, Division of Hematology",Researches new data sources and analytical tools; Develops methodologies and files for effective data management;...,4,Research Data Analyst,Columbus,OH,,,
97,Memorial Sloan Kettering,Install and maintain software and data. Manage and archive large data sets from next-generation sequencing experiments....,10,Computational Biologist / Bioinformatics Analyst,New York,NY,,,
98,Middlebury College,"Performs external reporting functions for Middlebury, generates standard data reports (e.g., the Fact Book, IPEDS , and Common Data Set), coordinate the...",9,Research and Data Analyst,Middlebury,VT,46305.0,,46305.0
99,WebMD,Provide data analysis and facilitate comprehension of data to the Business Intelligence user community. This position will work closely with other departments...,19,"Team Lead, Data Analysis",New York,NY,,,
100,"Truven Health Analytics, Inc. & Simpler Consulting","However, their work includes the entire process of data analysis, including the data cleansing, data preparation and visualization of results....",12,Data Miner Sr,Ann Arbor,MI,,,
101,NYU Langone Medical Center,"Assists with study site recruitment, data collection, participant tracking, intervention delivery, protocol compliance, and accurate data entry....",4,Research Data Associate,New York,NY,,,
102,Clarifai,Experience handling internet-scale data sets and the unique problems they pose. Since then Clarifai’s deep learning systems have improved orders of magnitude in...,30,"Research Scientist, Deep Learning / Computer Vision",New York,NY,,,
103,Oscar Technology,"Work with data scientist to identify data needs, sources, and structure to support client issues problem solving....",15,Big Data Analytics Manager,Houston,TX,160000.0,,160000.0
104,Carolinas HealthCare System,"Conducts follow up contacts to collect data for assigned studies. Collects and enters demographic, inpatient, and follow-up data and questionnaires....",3,Research Analyst,Charlotte,NC,,,
105,PricewaterhouseCoopers LLC,"Evaluate ERP data models, data flows and system functionality; Participation in planning with other data scientists on the most effective analytical approach...",5,Data Science Assurance Senior Associate,Tampa,FL,,,
106,Sargento Foods,The Principal Research Scientist for the Strategic Areas of Interest group (SAI) is an experienced scientist with an applied research background that will be...,3,Principal Research Scientist,Elkhart Lake,WI,,,
107,Battelle,"We are currently seeking a Principal Research Scientist. + Experience leading projects that involve literature reviews/environmental scans, syndicated market...",2,Principal Research Scientist,Baltimore,MD,,,
108,Umpqua Bank,You have demonstrated experience as a data scientist working with broad requirements to deliver commercially applicable analytics....,22,Pivotus - Data Scientist - Palo Alto,Palo Alto,CA,100000.0,160000.0,130000.0
109,USADA,"Provide literature and internet research to support USADA’s education programs and communication strategy, including Ask a Scientist, Supplement 411 website,...",1,RISK ANALYTICS PROGRAM LEAD,Colorado Springs,CO,,,
110,NBCUniversal,"Serve as a senior data scientist for audience studio data products. You will be part of the Audience Studio Data Technology team, participating in the data...",22,"Principal, Data Science",New York,NY,,,
111,Eli Lilly,Experience developing genome data visualization tools. Elanco is looking for a talented and flexible genomics scientist to join a growing interdisciplinary...,4,Research Scientist-Genomics,Greenfield,IN,,,
112,"Bio-Rad, Inc.","Fluent with data analysis software. Collects, analyzes/interprets, and summarizes technical data into concise reports that includes recommendations....",17,Scientist or Senior Scientist,Woodinville,WA,,,
113,TeleTech,"Demonstrated understanding and experience with relational data sets, data warehouses, data mining and data analysis techniques....",4,Statistician Marketing,Tempe,AZ,,,
114,Major eCommerce Organization,Ability to handle complex and high volume of data (millions of records) and complete data analysis and interpretation....,21,Data Analysis & Reporting Specialist,Fort Lauderdale,FL,,,
115,UW Medical Foundation,Responsibilities include design and implementation of data sets and data visualizations; (b) database structure and efficient data accession;...,2,Business Intelligence Analyst (IS-Data Analysis & Business I...,Middleton,WI,,,
116,Revana,"Demonstrated understanding and experience with relational data sets, data warehouses, data mining and data analysis techniques....",4,Statistician Marketing,Tempe,AZ,,,
117,Progressive Leasing,"Collaborate with other Software Engineers, Data Scientists, Data Engineers in Architecting, Developing and Innovating a very robust, scalable and flexible...",3,Quality Assurance Analyst (Data Science),Draper,UT,,,
118,Catapult Systems Inc,"Master in Mathematics, Data Mining/Science, Machine Learning, Computer Science. High performing team members....",2,Cognitive Computing Specialists - Data Scientists,Oregon,,,,
119,GE Renewable Energy,"Extensive hands on experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing /...",30,Senior Data Scientist – Renewable Energy,Schenectady,NY,,,
120,Kronos Incorporated,Your job is to work with Kronos data scientists and these customers to realize this value. Join a small group that works with clients to solve business problems...,4,Big Data Client Consultant,Chelmsford,MA,,,
121,UTC Aerospace Systems,Monitor and report data trends to ensure appropriate actioning of Master data migration. Maintain internal master data tracking database....,3,Master Materials Data Analysis,Phoenix,AZ,,,
122,Smith Hanley Associates,Experience communicating insights gleaned from complex data analysis and predictive modeling in a business setting....,1,Data Scientist,Wisconsin,,100000.0,170000.0,135000.0
123,Limelight Networks,"Work with IT teams, management and/or data scientists to determine organizational goals. Data cleaning and munging....",2,Data Analyst,Burlington,MA,,,
124,FICO,"We are looking for data scientists to analyze and understand large amounts of historical data to determine suitability for modeling, data clean-up and filtering...",11,Cyber Analytic Scientist,San Diego,CA,,,
125,Columbia University,"The successful candidate will work with senior departmental management to maintain data integrity, data standardization, and data accuracy....",1,Research Applications Analyst,New York,NY,,,
126,Nationwide Children's Hospital,"The Data Scientist position will be part of a team of highly capable Data Scientists and Analysts, most having MS or PhD degrees in academic disciplines related...",27,Data Scientist I- RI Solutions and Innovations,Columbus,OH,,,
127,SciMetrika,Life-table analysis of epidemiological data. ScitoVation scientist have earned a reputation for developing and applying state-of-the-art modeling techniques...,24,Statistical Modeler,Research Triangle Park,NC,,,
128,Analytics Media Group,"Analytics Media Group is looking for highly skilled data scientists, statisticians, and other skilled data analysts (PhD, ABD, or Masters with experience)....",17,Senior Analyst,Pasadena,CA,,,
129,"Truven Health Analytics, Inc. & Simpler Consulting","Work collaboratively with data scientists, clinicians, and other experts to ensure that methodologies meet the stated business requirements....",12,Methodologist (Data Analytics SME),Ann Arbor,MI,,,
130,PerkinElmer,"Software engineers, scientists, data analysts, and. Wrangling data using Big Data, NoSQL, and analytics. The Innovation Lab is home to a multi-discipline team...",2,Senior/Principal Software Engineer,Cambridge,MA,,,
131,Washington University in St. Louis,Experience and excellence in using SAS or R with data analysis and/or data management is preferred. Performs statistical analysis on longitudinal data and...,11,Statistical Data Analyst - Biostatistics,St. Louis,MO,45219.0,57657.0,51438.0
132,UT Health Science Center at San Antonio,"Evaluates and interprets research data to provide needed information to investigators. Design and carry out MRI studies, analyze MRI data, and write up papers...",11,Research Scientist,San Antonio,TX,,,
133,Estimize Inc.,We are looking for an individual to add to this team who will tirelessly produce incredible content using the Estimize data set in support of user acquisition...,1,Research Analyst at Disruptive Fintech Startup,New York,NY,,,
134,State of Wisconsin,This position will also work as a part of an OIG data analytic team and cross train to support other OIG data functions....,2,IS Business Automation Specialist - OIG Data and Research An...,Wisconsin,,59404.0,91166.0,75285.0
135,Trajecoire Capital,"Responsibilities Develop and use quantitative factor analysis to understand portfolios (hedge funds, long only…) performance drivers (beta, style premia, alpha",19,Quantitative Analyst,Miami,FL,,,
136,United Network for Organ Sharing (UNOS),Demonstrated data manipulation and data management skills. Experience in Hadoop/Big Data programming. UNOS is looking for a Data Analyst to provide programming...,3,Data Analyst,Richmond,VA,,,
137,Galvanize,"Instructor, Sr Data Scientist. Join us in building the world's hub for education in data science and data engineering....",1,"Instructor, Sr.Data Scientist",Seattle,WA,,,
138,Siemens,Hands-on expertise in handling and analyzing large data sets. We are looking for a motivated Research Scientist who would like to be part of a dynamic team in...,9,Research Scientist - Machine Intelligence,Berkeley,CA,,,
139,Mondelez International,Provide Data Quality Monitoring & Analysis. 45% - Represent RDQ in broader Business Process Management community to drive data and process integration....,30,"Sr. Associate Principal Scientist, Integrated Data Managemen...",East Hanover,NJ,,,
140,MarkMonitor,"Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...",24,Data Scientist,San Francisco Bay Area,CA,180000.0,,180000.0
141,Ford Motor Company,"The Ford ecosystem includes connected vehicle data, external data providers, public data, social media, digital exhaust, transactional data and other...",7,Analytic System Engineer,Dearborn,MI,,,
142,UT Southwestern Medical Center,Assembles and analyzes research data. The UT Southwestern High Throughput Screening Laboratory is looking for a screening scientist with an analytical chemistry...,11,Research Assistant II - Biochemistry,Dallas,TX,,,
143,Aetna,"Aetna’s Consumer Health Services Clinical Analytics team is seeking a Lead Data Scientist in either our New York, NY;...",23,Lead Data Scientist,New York,NY,,,
144,The Research Corporation of the University of Hawa...,Educates scientists about Acoustic Doppler Current Profiler (ADCP) data and using UHDAS at sea. Analysis of large observational data sets;...,10,JIMAR Ocn Data ProgAnlyst-Oahu,Honolulu,HI,,,
145,"Professional Environmental Engineers, Inc.","Field inspections, field sampling, report preparation, data validation, data entry, data calculations, data compilation, and other activities requiring...",1,Junior Environmental Scientist,Downers Grove,IL,,,
146,MLB Advanced Media,"Undergraduate (Bachelors) degree with (3) years of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...",22,Senior Statistical Analyst,New York,NY,,,
147,CAPCO,Capco is looking for Senior Data Scientists. And rewarding role as a Senior Data Scientist. A team of data scientists and work with business sponsors and...,1,Senior Data Scientist,New York,NY,,,
148,Quality Health Strategies,Trends data to understand opportunities for improvement or focused investigation. Creates statistical approaches and analyze data generated by multiple...,30,Health Fraud Statistician,Baltimore,MD,,,
149,State Auto Insurance Companies,"Identify correlations, patterns and trends in data. Perform data exploration and analysis on large datasets....",8,Predictive Modeling Analyst,Columbus,OH,,,
150,Sabre,"Data mining, data warehousing and big data skills are desirable (Hadoop, Pig, etc.). Developing software for data management (access, load, manipulation, etc.)....",8,Operations Research Analyst - Programmer and Database Develo...,Dallas-Fort Worth,TX,,,
151,GoPro,"Senior Software Engineer, Computer Vision and Machine Learning Capture. Create. Share. This is your life. Be a HERO. GoPro is always looking for awesome,",17,"Software Engineer, Computer Vision and Machine Learning",San Diego,CA,,,
152,South Florida Water Management,"Must have extensive experience operating, maintaining, calibrating and troubleshooting sampling equipment (including data sondes, Global Positioning Systems and...",3,Scientist 2,West Palm Beach,FL,50648.0,,50648.0
153,"Move, Inc.","Mentor a team of data scientists on data exploration, machine learning and developing data-based products....",1,Principal Data Scientist,Santa Clara,CA,,,
154,Synthetic Genomics,Proficiency in working with databases and data management platforms (SQL/NoSQL). Experience in efficient pipeline development for large next-generation...,1,Bioinformatics Scientist,Los Angeles,CA,,,
155,Datacom Technology Group,They will report directly to the company founders and manage other Data Scientists. Political Analytics firm looking for a full time data scientist to work out...,30,Data Scientist,New York,NY,200000.0,,200000.0
156,Lattice Engines,"As a member of the data science team, the data scientist will work on groundbreaking R&D projects to leverage massive structured, unstructured, transactional...",1,Senior Data Scientist,San Mateo,CA,,,
157,"Lumos Labs, Inc.",Specific experience modeling longitudinal data. Read more about how Lumosity uses Data Science here! The Data Science team at Lumosity works closely with our...,1,Senior Data Scientist,San Francisco,CA,,,
158,Child Trends,Selects appropriate statistical techniques to analyze collected data. Participates in interpreting data from policy and program perspectives....,20,"Research Scientist - Early Childhood, NC",Bethesda,MD,,,
159,Northwell Health,"As an Applications Analyst, you will participate in the design, development and implementation of healthcare applications. In this role, you will serve as an",17,"Applications Analyst (R Programming, Data Analysis & SQL ski...",Manhasset,NY,,,
160,Nature's Sunshine,"Analyses and interprets data for release of raw materials and finished products; 8:30am to 5:00 pm, Monday-Friday....",8,Sr. QA/QC Scientist,Spanish Fork,UT,,,
161,Arete Associates,"Demonstrated experience/knowledge in data analysis in the areas of sensor design; Areté Associates is currently seeking talented, motivated Scientists for our...",18,Research Scientist,Northridge,CA,,,
