,company,description,location,post_date,salary,title,temp,city,temp1,state,yearly_salary,monthly_salary,range_low,range_high,salary_avg
81,Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","New York, NY",30,None,Data Scientist – Predictive Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
82,Facebook,"Machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence. The position will involve taking these skills and...","New York, NY",30,None,"Software Engineer, Machine Learning","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
83,NJF Search,Pattern + inefficiency discovery off large and noisy data sets by quantifying the momentum or mean reversion of market movements and their correlation to data...,"New York, NY",1,None,Research Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
84,Columbia University,The Institute for Genomic Medicine at Columbia University Medical Center seeks a highly motivated and creative postdoctoral research scientist to study the...,"New York, NY",4,None,Postdoctoral Research Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
85,AIG,Machine Learning / Predictive Modeling / Statistics AIG is seeking world-class dynamic Data Scientists to join our Science team that drives transformational...,"New York, NY",30,None,"Director, Data Scientist/Modeler","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
86,ADMIN FOR CHILDREN'S SVCS,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....","New York, NY",30,"<nobr>$85,211 - $110,522 a year</nobr>",Director of Qualitative Review & Evaluation Unit,"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$85,211 - $110,522 a year</nobr>",,85211.0,110522.0,97866.5
87,Bessemer Trust Company,The External Manager Solutions team is interviewing candidates for an open “Investment Management Research Analyst” position. External Manager Solutions is,"New York, NY 10111 (Midtown area)",9,None,Investment Management Research Analyst,"[u'New York', u' NY 10111 (Midtown area)']",New York,[u' NY 10111 (Midtown area)'],NY,,,,,
88,PlaceIQ,"You will interface regularly with our team of data scientists to uncover insights from advertising campaigns into coherent, data-driven narratives....","New York, NY",24,None,Reporting Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
89,Comcast,"Collaborating with executive leaders and business owners, the Data Scientist will be leading teammates to solve business problems using broad spectrum of data...","New York, NY 10012 (Little Italy area)",18,None,Principal Data Scientist,"[u'New York', u' NY 10012 (Little Italy area)']",New York,[u' NY 10012 (Little Italy area)'],NY,,,,,
90,"ALM Media Properties, LLC.",Develop and refine data editing and standardization process. Is comprised of Research Managers and Data Analyst partnering on every project....,"New York, NY",30,None,Research Data Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
91,VTS,"As a Principal Data Scientist, you will... Perform hands-on data exploration and modeling over big data technologies and conceptualize new / innovative ways to...","New York, NY",30,None,Principal Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
92,Analytic Recruiting,"Treasury, Funding, Repo, Sec Lending, Business Intelligence, Data Manipulation, Data Visualization, Data Scientist, Data Engineer....","New York, NY 10017 (Midtown area)",9,None,Data Analyst Sec Lending Trader- Hedge Fund,"[u'New York', u' NY 10017 (Midtown area)']",New York,[u' NY 10017 (Midtown area)'],NY,,,,,
93,General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...","New York, NY 10010 (Gramercy area)",27,None,Data Science Instructor Lead,"[u'New York', u' NY 10010 (Gramercy area)']",New York,[u' NY 10010 (Gramercy area)'],NY,,,,,
94,Averity,"Knowledge big data analysis and systems. Individual will work directly with Senior Analysts, Traders and report to trading head to leverage his/her big data and...","New York, NY",25,"<nobr>$150,000 - $250,000 a year</nobr>",Junior Quantitative Analyst / Developer for $5B Hedge Fund,"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$150,000 - $250,000 a year</nobr>",,150000.0,250000.0,200000.0
95,Spotify,"Must have at least 1 year of experience working with data scientist and engineers on marketing initiatives. Analytics tackles complex, data-intensive research...","New York, NY 10011 (Chelsea area)",2,None,Analytics Consulting Lead- Marketing,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY,,,,,
96,Columbia University,"As an integral member of the team, the Associate Data & Research Analyst focuses on data mining; This includes working with large data sets, and understanding...","New York, NY",30,None,Associate Data and Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
97,Bessemer Trust Company,HEDGE FUND RESEARCH ANALYST The Alternative Investment Group at Bessemer Trust (New York) is interviewing potential candidates for an open “Senior Hedge Fund,"New York, NY 10111 (Midtown area)",3,None,Hedge Fund Research Analyst,"[u'New York', u' NY 10111 (Midtown area)']",New York,[u' NY 10111 (Midtown area)'],NY,,,,,
98,BNY Mellon,"The incumbent ensures that model development, implementation, data input, reporting, documentation, validation and maintenance use best practices, adhere to...","New York, NY",19,None,Quantitative Risk Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
99,Polaris Management,"Analyze and collect data, present and defend findings. Polaris is seeking a Global Regulatory Research Analyst whose focus will be to maintain up-to-date...","New York, NY",19,None,Global Regulatory Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
100,New York State Insurance Fund,"Run risk systems (such as POINT, Aladdin, Yield Book, Quantal Risk Estimates, FINCAD, Moody’s KMV) and compile exposure and risk related data;...","New York, NY",30,None,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
101,General Assembly,"Working as a developer or data scientist. Recently voted Fast Company’s #1 Most Innovative Company in Education and #28 Most Innovative Company in the world,...","New York, NY 10010 (Gramercy area)",30,None,R&D Manager,"[u'New York', u' NY 10010 (Gramercy area)']",New York,[u' NY 10010 (Gramercy area)'],NY,,,,,
102,Empiric Solutions,"Mentor other data scientists. Perform hands on data exploration and modeling over big data technologies. Exploring, manipulating, and visualizing data in big...","New York, NY",6,"<nobr>$165,000 a year</nobr>",Lead/Principal Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$165,000 a year</nobr>",,165000.0,,165000.0
103,Santander Bank,"Hands on experience with quantitative data and statistical analysis techniques such as multi-variate regression model development, validation and/or data mining...","Manhattan, NY",8,None,Senior PPNR Quantitative Analyst,"[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY,,,,,
104,Schrodinger,"Data management in the Life Sciences. An engineer, developer, and/or scientist that loves solving practical problems....","New York, NY",30,None,"Solutions Architect, Enterprise Informatics","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
105,VISITING NURSE SERVICE OF NEW YORK,Experience with data extraction and manipulation required. Minimum of three years progressive experience performing increasingly complex data analysis and...,"Manhattan, NY",22,None,"Statistical Analyst, CHOICE","[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY,,,,,
