,budget,buf,country,date,gross,language,loction,production,runtime,sound,tconst
202,"Budget:        $960,000        

      (estimated)","Production Co:

Chartoff-Winkler Productions,        
United Artists 
See more »","Country:
USA","Release Date: 3 December 1976 (USA)
    
See more »","Gross:        $117,235,247        

      (USA)","Language:
English","Filming Locations:
2822-2824 Rosehill St, Philadelphia, Pensylvannia, USA

See more »","Production Co:

Chartoff-Winkler Productions,        
United Artists 
See more »","Runtime:
120 min
|
145 min
            (director's cut)","Sound Mix:
Mono",tt0075148
203,"Budget:        $135,000,000        

      (estimated)","Gross:        $183,635,922        

      (USA)
(20 May 2016)","Country:
USA
|
Hong Kong
|
Taiwan
|
Canada","Release Date: 8 January 2016 (USA)
    
See more »","Opening Weekend:         $474,560        

      (USA)
      (25 December 2015)","Language:
English
|
Pawnee
|
French","Filming Locations:
Calgary, Alberta, Canada

See more »","Gross:        $183,635,922        

      (USA)
(20 May 2016)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
156 min",tt1663202
204,"Opening Weekend:         $11,947        

      (USA)
      (9 April 1999)","Production Co:

Cineriz,        
Francinex 
See more »","Country:
Italy
|
France","Release Date: 25 June 1963 (USA)
    
See more »","Gross:        $50,690        

      (USA)
(23 April 1999)","Language:
Italian
|
English
|
French
|
German","Filming Locations:
Cinecittà Studios, Cinecittà, Rome, Lazio, Italy

See more »","Production Co:

Cineriz,        
Francinex 
See more »","Runtime:
138 min","Sound Mix:
Mono",tt0056801
205,"Budget:        $2,777,000        

      (estimated)","Gross:        $22,202,612        

      (USA)
(11 October 2013)","Country:
USA","Release Date: 25 August 1939 (USA)
    
See more »","Opening Weekend:         $5,354,311        

      (USA)
      (6 November 1998)","Language:
English","Filming Locations:
Culver City, California, USA

See more »","Gross:        $22,202,612        

      (USA)
(11 October 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
102 min",tt0032138
206,"Budget:        $115,000,000        

      (estimated)","Gross:        $289,907,418        

      (USA)
(26 April 2013)","Country:
USA","Release Date: 2 November 2001 (USA)
    
See more »","Opening Weekend:         $62,577,067        

      (USA)
      (2 November 2001)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $289,907,418        

      (USA)
(26 April 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
92 min",tt0198781
207,"Budget:        $125,000,000        

      (estimated)","Gross:        $380,955,619        

      (USA)
(11 November 2011)","Country:
USA
|
UK","Release Date: 15 July 2011 (USA)
    
See more »","Opening Weekend:         $169,189,427        

      (USA)
      (15 July 2011)","Language:
English","Filming Locations:
England, UK

See more »","Gross:        $380,955,619        

      (USA)
(11 November 2011)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
130 min",tt1201607
208,"Budget:        $6,500,000        

      (estimated)","Production Co:

Hemdale,        
Pacific Western,        
Euro Film Funding 
See more »","Country:
UK
|
USA","Release Date: 26 October 1984 (USA)
    
See more »","Gross:        $38,400,000        

      (USA)","Language:
English
|
Spanish","Filming Locations:
Tunnel at Lower Grand & West Gen Thad Kosciuszko Way, Los Angeles, California, USA

See more »","Production Co:

Hemdale,        
Pacific Western,        
Euro Film Funding 
See more »","Runtime:
107 min","Sound Mix:
Mono
(original release)| Dolby
(DVD Re-Release)| DTS
(DTS HD Master Audio)",tt0088247
209,"Opening Weekend:         £1,320,430        

      (UK)
      (19 April 1996)","Production Co:

Universal Pictures,        
Atlas Entertainment,        
Classico 
See more »","Language:
English
|
French","Also Known As: 12 Monkeys
      
See more »","Gross:        $56,882,000        

      (USA)","Release Date: 5 January 1996 (USA)
    
See more »","Budget:        $29,000,001        

      (estimated)","Production Co:

Universal Pictures,        
Atlas Entertainment,        
Classico 
See more »","Runtime:
129 min","Sound Mix:
DTS-Stereo
| DTS
| Dolby SR",tt0114746
210,"Gross:        $23,650,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: Glory for Me
      
See more »","Production Co:

Samuel Goldwyn Company, The 
See more »","Release Date: 17 June 1947 (Argentina)
    
See more »","Budget:        $2,100,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Recording)","Color:
 Black and White",tt0036868
211,"Gross:        $70,906,973        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
French
|
Italian","Also Known As: Hechizo del tiempo
      
See more »","Production Co:

Columbia Pictures Corporation 
See more »","Release Date: 12 February 1993 (USA)
    
See more »","Budget:        $14,600,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby SR
(as Dolby Stereo)","Color:
Color
(Technicolor)",tt0107048
212,"Budget:        $40,000,000        

      (estimated)","Gross:        $74,098,862        

      (USA)
(5 August 2005)","Country:
USA","Release Date: 1 April 2005 (USA)
    
See more »","Opening Weekend:         $29,120,273        

      (USA)
      (1 April 2005)","Language:
English","Filming Locations:
Austin, Texas, USA","Gross:        $74,098,862        

      (USA)
(5 August 2005)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
124 min
|
147 min
            (unrated, recut)",tt0401792
213,"Opening Weekend:         £23,764        

      (UK)
      (13 August 1999)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
French","Also Known As: Alfred Hitchcock's 'Strangers on a Train'
      
See more »","Production Co:

Warner Bros. 
See more »","Release Date: 30 June 1951 (USA)
    
See more »","Budget:        $1,200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(RCA Sound System)","Color:
 Black and White",tt0044079
214,"Opening Weekend:         $179,789        

      (Japan)
      (24 October 2003)","Production Co:

Media Asia Films,        
Basic Pictures 
See more »","Country:
Hong Kong","Release Date: 12 December 2002 (Hong Kong)
    
See more »","Gross:        $89,594        

      (USA)
(15 October 2004)","Language:
Cantonese
|
English
|
Thai","Budget:        $6,428,966        

      (estimated)","Production Co:

Media Asia Films,        
Basic Pictures 
See more »","Runtime:
101 min
|
97 min
            (director's cut)","Sound Mix:
Dolby Digital",tt0338564
215,"Budget:        $8,000,000        

      (estimated)","Production Co:

Zanuck/Brown Productions,        
Universal Pictures 
See more »","Country:
USA","Release Date: 20 June 1975 (USA)
    
See more »","Gross:        $260,000,000        

      (USA)","Language:
English","Filming Locations:
Martha's Vineyard, Massachusetts, USA

See more »","Production Co:

Zanuck/Brown Productions,        
Universal Pictures 
See more »","Runtime:
124 min
|
130 min
            (Extended Edition)","Sound Mix:
Mono
(Westrex Recording System)| Dolby Digital
(Dolby 5.1)| DTS
(DTS 5.1)| Dolby Surround 7.1
(DTS HD Master Audio)",tt0073195
216,"Budget:        €2,590,000        

      (estimated)","Production Co:

Canal+,        
Cofinergie 6,        
Egg Pictures 
See more »","Country:
France","Release Date: 23 February 1996 (USA)
    
See more »","Gross:        $309,811        

      (USA)","Language:
French","Filming Locations:
Chanteloup-les-Vignes, Yvelines, France

See more »","Production Co:

Canal+,        
Cofinergie 6,        
Egg Pictures 
See more »","Runtime:
98 min","Sound Mix:
Dolby SR",tt0113247
217,"Budget:        $46,000,000        

      (estimated)","Gross:        $60,962,878        

      (USA)
(29 November 2013)","Country:
USA","Release Date: 20 September 2013 (USA)
    
See more »","Opening Weekend:         $20,817,053        

      (USA)
      (20 September 2013)","Language:
English","Filming Locations:
Conyers, Georgia, USA

See more »","Gross:        $60,962,878        

      (USA)
(29 November 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
153 min",tt1392214
218,"Production Co:

Peregrine,        
Hawk Films,        
Warner Bros. 
See more »","Runtime:
184 min","Language:
English
|
German
|
French","Also Known As: Beri Lindon
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 18 December 1975 (USA)
    
See more »","Budget:        $11,000,000        

      (estimated)","Runtime:
184 min","Color:
Color
(Metrocolor)| Color
(Eastmancolor)",Aspect Ratio: 1.66 : 1,tt0072684
219,"Budget:        $800,000        

      (estimated)","Gross:        $815,345        

      (USA)
(10 September 2004)","Country:
Italy
|
Algeria","Release Date: 20 September 1967 (USA)
    
See more »","Opening Weekend:         $64,870        

      (USA)
      (9 January 2004)","Language:
French
|
Arabic
|
English","Filming Locations:
Algeria

See more »","Gross:        $815,345        

      (USA)
(10 September 2004)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
121 min",tt0058946
220,"Production Co:

Warner Bros.,        
Artists Entertainment Complex 
See more »","Runtime:
125 min
|
131 min
            (1975)","Language:
English","Also Known As: Tarde de perros
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 21 September 1975 (USA)
    
See more »","Budget:        $1,800,000        

      (estimated)","Runtime:
125 min
|
131 min
            (1975)","Color:
Color
(Technicolor)",Aspect Ratio: 1.33 : 1,tt0072890
221,"Budget:        $108,000,000        

      (estimated)","Gross:        $228,430,993        

      (USA)
(11 March 2016)","Country:
USA
|
UK","Release Date: 2 October 2015 (USA)
    
See more »","Opening Weekend:         $54,308,575        

      (USA)
      (2 October 2015)","Language:
English
|
Mandarin","Filming Locations:
Hungary

See more »","Gross:        $228,430,993        

      (USA)
(11 March 2016)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
144 min
|
151 min
            (extended cut)",tt3659388
222,"Budget:        $52,000,000        

      (estimated)","Gross:        $164,435,221        

      (USA)
(18 April 2003)","Country:
USA
|
Canada","Release Date: 25 December 2002 (USA)
    
See more »","Opening Weekend:         $30,082,000        

      (USA)
      (27 December 2002)","Language:
English
|
French","Filming Locations:
2186 East Crary Street, Altadena, California, USA

See more »","Gross:        $164,435,221        

      (USA)
(18 April 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
141 min",tt0264464
223,"Production Co:

Beijing ShengShi HuaRei Film Investment & Management Co.,        
China Film Co-Production Corporation,        
Mandarin Films Distribution 
See more »","Runtime:
106 min","Country:
Hong Kong
|
China","Release Date: 12 December 2008 (China)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Cantonese
|
Mandarin
|
Japanese","Budget:        $11,715,578        

      (estimated)","Runtime:
106 min","Color:
Color",Aspect Ratio: 2.35 : 1,tt1220719
224,"Budget:        $14,000,000        

      (estimated)","Gross:        $91,121,452        

      (USA)
(8 May 2015)","Country:
UK
|
USA","Release Date: 25 December 2014 (USA)
    
See more »","Opening Weekend:         $479,352        

      (USA)
      (28 November 2014)","Language:
English
|
German","Filming Locations:
London, England, UK

See more »","Gross:        $91,121,452        

      (USA)
(8 May 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
114 min",tt2084970
225,"Budget:        $140,000,000        

      (estimated)","Gross:        $305,388,685        

      (USA)
(26 December 2003)","Country:
USA","Release Date: 9 July 2003 (USA)
    
See more »","Opening Weekend:         $46,630,690        

      (USA)
      (11 July 2003)","Language:
English","Filming Locations:
Bequia, St Vincent and the Grenadines

See more »","Gross:        $305,388,685        

      (USA)
(26 December 2003)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
143 min",tt0325980
226,"Budget:        $25,000,000        

      (estimated)","Gross:        $169,705,587        

      (USA)
(2 March 2012)","Country:
USA
|
India
|
United Arab Emirates","Release Date: 10 August 2011 (USA)
    
See more »","Opening Weekend:         $26,044,590        

      (USA)
      (12 August 2011)","Language:
English","Filming Locations:
Clarksdale, Mississippi, USA

See more »","Gross:        $169,705,587        

      (USA)
(2 March 2012)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital
| SDDS
| Datasat",tt1454029
227,"Production Co:

Cinematograph AB,        
Svenska Filminstitutet (SFI),        
Gaumont 
See more »","Runtime:
188 min
|
312 min
            (TV miniseries)","Language:
Swedish
|
German
|
Yiddish
|
English","Also Known As: Fanny and Alexander
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 17 December 1982 (Sweden)
    
See more »","Budget:        $6,000,000        

      (estimated)","Runtime:
188 min
|
312 min
            (TV miniseries)","Color:
Color
(Eastmancolor)",Aspect Ratio: 1.66 : 1,tt0083922
228,"Budget:        $220,000,000        

      (estimated)","Gross:        $623,279,547        

      (USA)
(28 September 2012)","Country:
USA","Release Date: 4 May 2012 (USA)
    
See more »","Opening Weekend:         $207,438,708        

      (USA)
      (4 May 2012)","Language:
English
|
Russian","Filming Locations:
Pittsburgh, Pennsylvania, USA

See more »","Gross:        $623,279,547        

      (USA)
(28 September 2012)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
143 min
|
173 min
            (extended cut)",tt0848228
229,"Budget:        $170,000,000        

      (estimated)","Gross:        $333,130,696        

      (USA)
(9 January 2015)","Country:
USA
|
UK","Release Date: 1 August 2014 (USA)
    
See more »","Opening Weekend:         $94,320,883        

      (USA)
      (1 August 2014)","Language:
English","Filming Locations:
Shepperton Studios, Shepperton, Surrey, England, UK

See more »","Gross:        $333,130,696        

      (USA)
(9 January 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
121 min",tt2015381
230,"Gross:        $3,500,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Italian
|
Spanish","Also Known As: A Fist Full of Dollars
      
See more »","Production Co:

Jolly Film,        
Constantin Film Produktion,        
Ocean Films 
See more »","Release Date: 18 January 1967 (USA)
    
See more »","Budget:        $200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Sound System)","Color:
Color
(Technicolor)",tt0058461
231,"Production Co:

Nibariki,        
Studio Ghibli,        
Tokuma Shoten 
See more »","Runtime:
125 min","Country:
Japan","Release Date: 2 August 1986 (Japan)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Japanese","Opening Weekend:         $1,315,182        

      (France)
      (17 January 2003)","Runtime:
125 min","Color:
Color",Aspect Ratio: 1.85 : 1,tt0092067
232,"Budget:        $15,000,000        

      (estimated)","Gross:        $138,795,342        

      (USA)
(10 June 2011)","Country:
UK
|
USA
|
Australia","Release Date: 25 December 2010 (USA)
    
See more »","Opening Weekend:         $355,450        

      (USA)
      (26 November 2010)","Language:
English","Filming Locations:
Halton House, Halton, Wendover, Buckinghamshire, England, UK

See more »","Gross:        $138,795,342        

      (USA)
(10 June 2011)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
118 min",tt1504320
233,"Production Co:

Paramount Pictures 
See more »","Runtime:
118 min
|
117 min
            (cut)","Language:
English
|
Italian
|
German","Also Known As: La princesa que quería vivir
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 2 September 1953 (USA)
    
See more »","Budget:        $1,500,000        

      (estimated)","Runtime:
118 min
|
117 min
            (cut)","Color:
 Black and White
(archive footage)|  Black and White",Aspect Ratio: 1.37 : 1,tt0046250
234,"Production Co:

Stanley Kramer Productions 
See more »","Runtime:
85 min","Language:
English
|
Spanish","Also Known As: A la hora señalada
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 30 July 1952 (USA)
    
See more »","Budget:        $750,000        

      (estimated)","Runtime:
85 min","Color:
 Black and White",Aspect Ratio: 1.37 : 1,tt0044706
235,"Budget:        INR 184,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
India","Release Date: 2 August 2012 (Singapore)
    
See more »","Production Co:

Jar Pictures,        
AKFPL,        
Bohra Bros Productions 
See more »","Language:
Hindi","Filming Locations:
Varanasi, Uttar Pradesh, India","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital
| Datasat","Color:
Color",tt1954470
236,"Budget:        $25,000,000        

      (estimated)","Gross:        $218,967,620        

      (USA)
(4 May 2012)","Country:
USA","Release Date: 22 November 1991 (USA)
    
See more »","Opening Weekend:         £44,797        

      (UK)
      (4 January 2002)","Language:
English
|
French","Filming Locations:
Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA

See more »","Gross:        $218,967,620        

      (USA)
(4 May 2012)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
84 min
|
91 min
            (special edition)",tt0101414
237,"Opening Weekend:         £92,227        

      (UK)
      (27 October 2000)","Production Co:

Block 2 Pictures,        
Jet Tone Production,        
Paradis Films 
See more »","Country:
Hong Kong
|
China","Release Date: 9 March 2001 (USA)
    
See more »","Gross:        $2,734,044        

      (USA)
(1 June 2001)","Language:
Cantonese
|
Shanghainese
|
French","Filming Locations:
Angkor Wat, Siem Reap, Cambodia

See more »","Production Co:

Block 2 Pictures,        
Jet Tone Production,        
Paradis Films 
See more »","Runtime:
98 min","Sound Mix:
Dolby Digital",tt0118694
