	critics	date	rating	rating1	rating_count	subtext	tconst	time	title	user
105	50 critic	"25 December 2009 (India)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.4/10 "	205,044	"
PG-13
| 
                        2h 50min
                    
|
Comedy, 
Drama
|
25 December 2009 (India)

 "	tt1187043	"
                        2h 50min
                    "	3 Idiots (2009) 	337 user
106	141 critic	"13 September 1961 (USA)

"	"[<meta content=""UNRATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	73,623	"
Unrated
| 
                        1h 50min
                    
|
Comedy, 
Drama, 
Thriller
|
13 September 1961 (USA)

 "	tt0055630	"
                        1h 50min
                    "	Yojimbo (1961) 	157 user
107	349 critic	"10 January 2013 (Denmark)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	168,418	"
R
| 
                        1h 55min
                    
|
Drama
|
10 January 2013 (Denmark)

 "	tt2106476	"
                        1h 55min
                    "	Jagten (2012) 	248 user
108	477 critic	"15 June 2005 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.3/10 "	974,515	"
PG-13
| 
                        2h 20min
                    
|
Action, 
Adventure
|
15 June 2005 (USA)

 "	tt0372784	"
                        2h 20min
                    "	Batman Begins (2005) 	2,681 user
109	107 critic	"24 January 1948 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	78,785	"
Not Rated
| 
                        2h 6min
                    
|
Adventure, 
Drama, 
Western
|
24 January 1948 (USA)

 "	tt0040897	"
                        2h 6min
                    "	The Treasure of the Sierra Madre (1948) 	211 user
110	160 critic	"9 January 1998 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	600,733	"
R
| 
                        2h 6min
                    
|
Drama
|
9 January 1998 (USA)

 "	tt0119217	"
                        2h 6min
                    "	Good Will Hunting (1997) 	679 user
111	181 critic	"14 April 1959 (Japan)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	174,260	"
Not Rated
| 
                        2h
                    
|
Adventure, 
Comedy, 
Crime
|
14 April 1959 (Japan)

 "	tt0053291	"
                        2h
                    "	Some Like It Hot (1959) 	349 user
112	407 critic	"29 May 2009 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.3/10 "	660,706	"
PG
| 
                        1h 36min
                    
|
Animation, 
Adventure, 
Comedy
|
29 May 2009 (USA)

 "	tt1049413	"
                        1h 36min
                    "	Up (2009) 	698 user
113	131 critic	"7 August 1992 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	275,972	"
R
| 
                        2h 11min
                    
|
Drama, 
Western
|
7 August 1992 (USA)

 "	tt0105695	"
                        2h 11min
                    "	Unforgiven (1992) 	492 user
114	216 critic	"31 August 1949 (UK)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	113,121	"
Not Rated
| 
                        1h 33min
                    
|
Film-Noir, 
Mystery, 
Thriller
|
31 August 1949 (UK)

 "	tt0041959	"
                        1h 33min
                    "	The Third Man (1949) 	407 user
115	46 critic	"22 January 1999 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.5/10 "	27,215	"
PG
| 
                        1h 29min
                    
|
Drama, 
Family
|
22 January 1999 (USA)

 "	tt0118849	"
                        1h 29min
                    "	Children of Heaven (1997) 	128 user
116	151 critic	"19 December 1980 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	233,970	"
R
| 
                        2h 9min
                    
|
Biography, 
Drama, 
Sport
|
19 December 1980 (USA)

 "	tt0081398	"
                        2h 9min
                    "	Raging Bull (1980) 	490 user
117	192 critic	"8 April 2005 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	247,128	"
R
| 
                        2h 36min
                    
|
Biography, 
Drama, 
History
|
8 April 2005 (USA)

 "	tt0363163	"
                        2h 36min
                    "	Downfall (2004) 	562 user
118	536 critic	"19 June 2015 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.3/10 "	337,827	"
PG
| 
                        1h 35min
                    
|
Animation, 
Adventure, 
Comedy
|
19 June 2015 (USA)

 "	tt2096673	"
                        1h 35min
                    "	Inside Out (2015) 	765 user
119	233 critic	"20 July 1988 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	589,326	"
R
| 
                        2h 11min
                    
|
Action, 
Thriller
|
20 July 1988 (USA)

 "	tt0095016	"
                        2h 11min
                    "	Die Hard (1988) 	717 user
120	111 critic	"4 July 1963 (USA)

"	"[<meta content=""APPROVED"" itemprop=""contentRating""/>]"	"
8.3/10 "	164,721	"
Approved
| 
                        2h 52min
                    
|
Adventure, 
Drama, 
History
|
4 July 1963 (USA)

 "	tt0057115	"
                        2h 52min
                    "	The Great Escape (1963) 	298 user
121	223 critic	"20 June 1974 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	215,087	"
R
| 
                        2h 10min
                    
|
Drama, 
Mystery, 
Thriller
|
20 June 1974 (USA)

 "	tt0071315	"
                        2h 10min
                    "	Chinatown (1974) 	460 user
122	165 critic	"15 December 1995 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	429,213	"
R
| 
                        2h 50min
                    
|
Action, 
Crime, 
Drama
|
15 December 1995 (USA)

 "	tt0113277	"
                        2h 50min
                    "	Heat (1995) 	882 user
123	415 critic	"22 January 2016 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	154,205	"
R
| 
                        1h 58min
                    
|
Drama
|
22 January 2016 (USA)

 "	tt3170832	"
                        1h 58min
                    "	Room (2015) 	350 user
124	406 critic	"19 January 2007 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	464,895	"
R
| 
                        1h 58min
                    
|
Drama, 
Fantasy, 
War
|
19 January 2007 (USA)

 "	tt0457430	"
                        1h 58min
                    "	Pan's Labyrinth (2006) 	1,082 user
125	134 critic	"6 August 1954 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	100,219	"
Not Rated
| 
                        1h 48min
                    
|
Crime, 
Drama, 
Romance
|
6 August 1954 (USA)

 "	tt0047296	"
                        1h 48min
                    "	On the Waterfront (1954) 	280 user
126	142 critic	"16 April 1988 (Japan)

"	"[<meta content=""G"" itemprop=""contentRating""/>]"	"
8.3/10 "	170,807	"
G
| 
                        1h 26min
                    
|
Animation, 
Family, 
Fantasy
|
16 April 1988 (Japan)

 "	tt0096283	"
                        1h 26min
                    "	My Neighbor Totoro (1988) 	305 user
127	110 critic	"25 March 1956 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	41,965	"
Not Rated
| 
                        2h 23min
                    
|
Drama
|
25 March 1956 (USA)

 "	tt0044741	"
                        2h 23min
                    "	Ikiru (1952) 	155 user
128	145 critic	"1 June 1985 (Japan)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.3/10 "	77,312	"
R
| 
                        2h 42min
                    
|
Action, 
Drama
|
1 June 1985 (Japan)

 "	tt0089881	"
                        2h 42min
                    "	Ran (1985) 	234 user
129	101 critic	"1925 (Germany)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	67,368	"
Not Rated
| 
                        1h 35min
                    
|
Adventure, 
Comedy, 
Drama
|
1925 (Germany)

 "	tt0015864	"
                        1h 35min
                    "	The Gold Rush (1925) 	148 user
130	96 critic	"19 October 1939 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	76,998	"
Not Rated
| 
                        2h 9min
                    
|
Comedy, 
Drama
|
19 October 1939 (USA)

 "	tt0031679	"
                        2h 9min
                    "	Mr. Smith Goes to Washington (1939) 	245 user
131	122 critic	"14 December 1957 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	148,510	"
PG
| 
                        2h 41min
                    
|
Adventure, 
Drama, 
War
|
14 December 1957 (USA)

 "	tt0050212	"
                        2h 41min
                    "	The Bridge on the River Kwai (1957) 	271 user
132	261 critic	"21 May 2010 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	130,777	"
R
| 
                        2h 9min
                    
|
Drama, 
Mystery, 
Thriller
|
21 May 2010 (USA)

 "	tt1305806	"
                        2h 9min
                    "	The Secret in Their Eyes (2009) 	231 user
133	302 critic	"25 June 1982 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	459,318	"
R
| 
                        1h 57min
                    
|
Sci-Fi, 
Thriller
|
25 June 1982 (USA)

 "	tt0083658	"
                        1h 57min
                    "	Blade Runner (1982) 	1,169 user
134	137 critic	"13 October 1958 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	111,220	"
Not Rated
| 
                        1h 36min
                    
|
Drama, 
Fantasy
|
13 October 1958 (USA)

 "	tt0050976	"
                        1h 36min
                    "	The Seventh Seal (1957) 	266 user
135	116 critic	"28 August 1998 (UK)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	412,868	"
R
| 
                        1h 47min
                    
|
Comedy, 
Crime
|
28 August 1998 (UK)

 "	tt0120735	"
                        1h 47min
                    "	Lock, Stock and Two Smoking Barrels (1998) 	524 user
136	162 critic	"4 November 1927 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	29,003	"
Not Rated
| 
                        1h 34min
                    
|
Drama, 
Romance
|
4 November 1927 (USA)

 "	tt0018455	"
                        1h 34min
                    "	Sunrise (1927) 	188 user
137	212 critic	"17 June 2005 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	212,522	"
PG
| 
                        1h 59min
                    
|
Animation, 
Adventure, 
Family
|
17 June 2005 (USA)

 "	tt0347149	"
                        1h 59min
                    "	Howl's Moving Castle (2004) 	329 user
138	133 critic	"22 November 1995 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	331,581	"
R
| 
                        2h 58min
                    
|
Biography, 
Crime, 
Drama
|
22 November 1995 (USA)

 "	tt0112641	"
                        2h 58min
                    "	Casino (1995) 	533 user
139	113 critic	"24 February 1927 (France)

"	"[<meta content=""UNRATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	53,226	"
Unrated
| 
                        1h 7min
                    
|
Action, 
Adventure, 
Comedy
|
24 February 1927 (France)

 "	tt0017925	"
                        1h 7min
                    "	The General (1926) 	240 user
140	113 critic	"22 June 1959 (USA)

"	"[<meta content=""UNRATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	62,749	"
Unrated
| 
                        1h 31min
                    
|
Drama, 
Romance
|
22 June 1959 (USA)

 "	tt0050986	"
                        1h 31min
                    "	Wild Strawberries (1957) 	145 user
141	776 critic	"18 December 2015 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.2/10 "	556,396	"
PG-13
| 
                        2h 16min
                    
|
Action, 
Adventure, 
Fantasy
|
18 December 2015 (USA)

 "	tt2488496	"
                        2h 16min
                    "	Star Wars: The Force Awakens (2015) 	3,882 user
142	116 critic	"10 October 1980 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	161,165	"
PG
| 
                        2h 4min
                    
|
Biography, 
Drama
|
10 October 1980 (USA)

 "	tt0080678	"
                        2h 4min
                    "	The Elephant Man (1980) 	355 user
143	317 critic	"9 September 2011 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.2/10 "	330,204	"
PG-13
| 
                        2h 20min
                    
|
Drama, 
Sport
|
9 September 2011 (USA)

 "	tt1291584	"
                        2h 20min
                    "	Warrior (2011) 	512 user
144	606 critic	"25 December 2013 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	773,257	"
R
| 
                        3h
                    
|
Biography, 
Comedy, 
Crime
|
25 December 2013 (USA)

 "	tt0993846	"
                        3h
                    "	The Wolf of Wall Street (2013) 	1,135 user
145	73 critic	"18 December 1961 (Sweden)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	44,077	"
Not Rated
| 
                        3h 6min
                    
|
Drama, 
War
|
18 December 1961 (Sweden)

 "	tt0055031	"
                        3h 6min
                    "	Judgment at Nuremberg (1961) 	174 user
146	203 critic	"4 January 2002 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.2/10 "	606,461	"
PG-13
| 
                        2h 15min
                    
|
Biography, 
Drama
|
4 January 2002 (USA)

 "	tt0268978	"
                        2h 15min
                    "	A Beautiful Mind (2001) 	1,169 user
147	132 critic	"13 March 1972 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	26,187	"
Not Rated
| 
                        2h 16min
                    
|
Drama
|
13 March 1972 (USA)

 "	tt0046438	"
                        2h 16min
                    "	Tokyo Story (1953) 	121 user
148	525 critic	"17 March 2006 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	787,254	"
R
| 
                        2h 12min
                    
|
Action, 
Drama, 
Thriller
|
17 March 2006 (USA)

 "	tt0434409	"
                        2h 12min
                    "	V for Vendetta (2005) 	2,039 user
149	226 critic	"12 January 2011 (France)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	79,666	"
R
| 
                        2h 19min
                    
|
Drama, 
Mystery, 
War
|
12 January 2011 (France)

 "	tt1255953	"
                        2h 19min
                    "	Incendies (2010) 	155 user
150	363 critic	"9 January 2009 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	559,077	"
R
| 
                        1h 56min
                    
|
Drama
|
9 January 2009 (USA)

 "	tt1205489	"
                        1h 56min
                    "	Gran Torino (2008) 	869 user
151	249 critic	"6 March 1998 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	534,189	"
R
| 
                        1h 57min
                    
|
Comedy, 
Crime
|
6 March 1998 (USA)

 "	tt0118715	"
                        1h 57min
                    "	The Big Lebowski (1998) 	1,026 user
152	18 critic	"8 July 1977 (France)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.5/10 "	28,970	"
PG
| 
                        2h 57min
                    
|
Adventure, 
Biography, 
Drama
|
8 July 1977 (France)

 "	tt0074896	"
                        2h 57min
                    "	The Message (1976) 	110 user
153	138 critic	"23 February 1979 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	231,342	"
R
| 
                        3h 3min
                    
|
Drama, 
War
|
23 February 1979 (USA)

 "	tt0077416	"
                        3h 3min
                    "	The Deer Hunter (1978) 	1,025 user
154	134 critic	"9 August 1996 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	466,658	"
R
| 
                        1h 34min
                    
|
Drama
|
9 August 1996 (USA)

 "	tt0117951	"
                        1h 34min
                    "	Trainspotting (1996) 	512 user
155	144 critic	"12 April 1940 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	86,944	"
Not Rated
| 
                        2h 10min
                    
|
Drama, 
Film-Noir, 
Mystery
|
12 April 1940 (USA)

 "	tt0032976	"
                        2h 10min
                    "	Rebecca (1940) 	274 user
156	200 critic	"5 April 1996 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	451,703	"
R
| 
                        1h 38min
                    
|
Crime, 
Drama, 
Thriller
|
5 April 1996 (USA)

 "	tt0116282	"
                        1h 38min
                    "	Fargo (1996) 	816 user
157	124 critic	"29 May 1954 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	105,733	"
PG
| 
                        1h 45min
                    
|
Crime, 
Film-Noir, 
Thriller
|
29 May 1954 (USA)

 "	tt0046912	"
                        1h 45min
                    "	Dial M for Murder (1954) 	261 user
158	156 critic	"17 January 1940 (USA)

"	"[<meta content=""G"" itemprop=""contentRating""/>]"	"
8.2/10 "	214,230	"
G
| 
                        3h 58min
                    
|
Drama, 
History, 
Romance
|
17 January 1940 (USA)

 "	tt0031381	"
                        3h 58min
                    "	Gone with the Wind (1939) 	705 user
159	508 critic	"6 May 2016 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.2/10 "	258,600	"
PG-13
| 
                        2h 27min
                    
|
Action, 
Adventure, 
Sci-Fi
|
6 May 2016 (USA)

 "	tt3498820	"
                        2h 27min
                    "	Captain America: Civil War (2016) 	1,010 user
160	96 critic	"1 November 1967 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	119,421	"
PG
| 
                        2h 6min
                    
|
Drama
|
1 November 1967 (USA)

 "	tt0061512	"
                        2h 6min
                    "	Cool Hand Luke (1967) 	262 user
161	288 critic	"26 March 2010 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	482,088	"
PG
| 
                        1h 38min
                    
|
Animation, 
Adventure, 
Family
|
26 March 2010 (USA)

 "	tt0892769	"
                        1h 38min
                    "	How to Train Your Dragon (2010) 	491 user
162	299 critic	"30 May 2003 (USA)

"	"[<meta content=""G"" itemprop=""contentRating""/>]"	"
8.2/10 "	687,156	"
G
| 
                        1h 40min
                    
|
Animation, 
Adventure, 
Comedy
|
30 May 2003 (USA)

 "	tt0266543	"
                        1h 40min
                    "	Finding Nemo (2003) 	865 user
163	234 critic	"6 August 1999 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.1/10 "	701,159	"
PG-13
| 
                        1h 47min
                    
|
Drama, 
Mystery, 
Thriller
|
6 August 1999 (USA)

 "	tt0167404	"
                        1h 47min
                    "	The Sixth Sense (1999) 	2,071 user
164	68 critic	"17 October 1985 (Hungary)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	25,098	"
Not Rated
| 
                        2h 20min
                    
|
Drama, 
War
|
17 October 1985 (Hungary)

 "	tt0091251	"
                        2h 20min
                    "	Come and See (1985) 	400 user
165	296 critic	"25 June 1982 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	256,286	"
R
| 
                        1h 49min
                    
|
Horror, 
Mystery, 
Sci-Fi
|
25 June 1982 (USA)

 "	tt0084787	"
                        1h 49min
                    "	The Thing (1982) 	911 user
166	488 critic	"21 November 2007 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	608,467	"
R
| 
                        2h 2min
                    
|
Crime, 
Drama, 
Thriller
|
21 November 2007 (USA)

 "	tt0477348	"
                        2h 2min
                    "	No Country for Old Men (2007) 	1,515 user
167	274 critic	"19 October 2007 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.2/10 "	423,713	"
R
| 
                        2h 28min
                    
|
Adventure, 
Biography, 
Drama
|
19 October 2007 (USA)

 "	tt0758758	"
                        2h 28min
                    "	Into the Wild (2007) 	760 user
168	170 critic	"9 April 2009 (Australia)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	118,417	"
Not Rated
| 
                        1h 32min
                    
|
Animation, 
Comedy, 
Drama
|
9 April 2009 (Australia)

 "	tt0978762	"
                        1h 32min
                    "	Mary and Max (2009) 	164 user
169	568 critic	"3 October 2014 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	564,721	"
R
| 
                        2h 29min
                    
|
Crime, 
Drama, 
Mystery
|
3 October 2014 (USA)

 "	tt2267998	"
                        2h 29min
                    "	Gone Girl (2014) 	1,123 user
170	354 critic	"10 October 2003 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	731,501	"
R
| 
                        1h 51min
                    
|
Action
|
10 October 2003 (USA)

 "	tt0266697	"
                        1h 51min
                    "	Kill Bill: Vol. 1 (2003) 	2,102 user
171	124 critic	"23 February 1934 (USA)

"	"[<meta content=""UNRATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	64,480	"
Unrated
| 
                        1h 45min
                    
|
Comedy, 
Romance
|
23 February 1934 (USA)

 "	tt0025316	"
                        1h 45min
                    "	It Happened One Night (1934) 	235 user
172	117 critic	"17 August 1979 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	270,799	"
R
| 
                        1h 34min
                    
|
Comedy
|
17 August 1979 (USA)

 "	tt0079470	"
                        1h 34min
                    "	Life of Brian (1979) 	319 user
173	393 critic	"27 September 2013 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	310,191	"
R
| 
                        2h 3min
                    
|
Action, 
Biography, 
Drama
|
27 September 2013 (USA)

 "	tt1979320	"
                        2h 3min
                    "	Rush (2013) 	475 user
174	75 critic	"26 May 1957 (Italy)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.3/10 "	25,670	"
Not Rated
| 
                        1h 50min
                    
|
Drama
|
26 May 1957 (Italy)

 "	tt0050783	"
                        1h 50min
                    "	Nights of Cabiria (1957) 	77 user
175	398 critic	"25 January 2008 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	370,878	"
R
| 
                        2h 38min
                    
|
Drama
|
25 January 2008 (USA)

 "	tt0469494	"
                        2h 38min
                    "	There Will Be Blood (2007) 	1,106 user
176	187 critic	"4 February 2005 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.1/10 "	263,239	"
PG-13
| 
                        2h 1min
                    
|
Drama, 
History, 
War
|
4 February 2005 (USA)

 "	tt0395169	"
                        2h 1min
                    "	Hotel Rwanda (2004) 	608 user
177	120 critic	"6 February 1987 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	290,035	"
R
| 
                        2h
                    
|
Drama, 
War
|
6 February 1987 (USA)

 "	tt0091763	"
                        2h
                    "	Platoon (1986) 	505 user
178	383 critic	"4 March 2016 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.2/10 "	158,869	"
PG
| 
                        1h 48min
                    
|
Animation, 
Action, 
Adventure
|
4 March 2016 (USA)

 "	tt2948356	"
                        1h 48min
                    "	Zootopia (2016) 	393 user
179	157 critic	"18 October 1941 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.1/10 "	112,546	"
Not Rated
| 
                        1h 40min
                    
|
Crime, 
Drama, 
Film-Noir
|
18 October 1941 (USA)

 "	tt0033870	"
                        1h 40min
                    "	The Maltese Falcon (1941) 	341 user
180	467 critic	"25 November 2015 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	187,245	"
R
| 
                        2h 8min
                    
|
Biography, 
Drama, 
History
|
25 November 2015 (USA)

 "	tt1895587	"
                        2h 8min
                    "	Spotlight (2015) 	402 user
181	115 critic	"16 February 1955 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.2/10 "	35,196	"
Not Rated
| 
                        2h 11min
                    
|
Adventure, 
Drama, 
Thriller
|
16 February 1955 (USA)

 "	tt0046268	"
                        2h 11min
                    "	The Wages of Fear (1953) 	139 user
182	161 critic	"27 November 1976 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	102,823	"
R
| 
                        2h 1min
                    
|
Drama
|
27 November 1976 (USA)

 "	tt0074958	"
                        2h 1min
                    "	Network (1976) 	317 user
183	737 critic	"15 May 2015 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	544,023	"
R
| 
                        2h
                    
|
Action, 
Adventure, 
Sci-Fi
|
15 May 2015 (USA)

 "	tt1392190	"
                        2h
                    "	Mad Max: Fury Road (2015) 	1,578 user
184	130 critic	"24 October 1969 (USA)

"	"[<meta content=""M"" itemprop=""contentRating""/>]"	"
8.1/10 "	151,252	"
M
| 
                        1h 50min
                    
|
Biography, 
Crime, 
Drama
|
24 October 1969 (USA)

 "	tt0064115	"
                        1h 50min
                    "	Butch Cassidy and the Sundance Kid (1969) 	309 user
185	486 critic	"19 February 2010 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	780,358	"
R
| 
                        2h 18min
                    
|
Mystery, 
Thriller
|
19 February 2010 (USA)

 "	tt1130884	"
                        2h 18min
                    "	Shutter Island (2010) 	965 user
186	165 critic	"16 November 1959 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.1/10 "	69,809	"
Not Rated
| 
                        1h 39min
                    
|
Crime, 
Drama
|
16 November 1959 (USA)

 "	tt0053198	"
                        1h 39min
                    "	The 400 Blows (1959) 	174 user
187	98 critic	"22 August 1986 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	269,902	"
R
| 
                        1h 29min
                    
|
Adventure, 
Drama
|
22 August 1986 (USA)

 "	tt0092005	"
                        1h 29min
                    "	Stand by Me (1986) 	582 user
188	44 critic	"25 February 1994 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	108,926	"
R
| 
                        2h 13min
                    
|
Biography, 
Drama, 
History
|
25 February 1994 (USA)

 "	tt0107207	"
                        2h 13min
                    "	In the Name of the Father (1993) 	157 user
189	597 critic	"8 November 2013 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	435,593	"
R
| 
                        2h 14min
                    
|
Biography, 
Drama, 
History
|
8 November 2013 (USA)

 "	tt2024544	"
                        2h 14min
                    "	12 Years a Slave (2013) 	696 user
190	111 critic	"16 March 1967 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.1/10 "	61,167	"
Not Rated
| 
                        1h 23min
                    
|
Drama, 
Thriller
|
16 March 1967 (USA)

 "	tt0060827	"
                        1h 23min
                    "	Persona (1966) 	167 user
191	535 critic	"28 March 2014 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	470,899	"
R
| 
                        1h 39min
                    
|
Adventure, 
Comedy, 
Crime
|
28 March 2014 (USA)

 "	tt2278388	"
                        1h 39min
                    "	The Grand Budapest Hotel (2014) 	642 user
192	157 critic	"13 April 2001 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.1/10 "	172,763	"
R
| 
                        2h 34min
                    
|
Drama, 
Thriller
|
13 April 2001 (USA)

 "	tt0245712	"
                        2h 34min
                    "	Amores Perros (2000) 	361 user
193	268 critic	"28 January 2005 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.1/10 "	479,454	"
PG-13
| 
                        2h 12min
                    
|
Drama, 
Sport
|
28 January 2005 (USA)

 "	tt0405159	"
                        2h 12min
                    "	Million Dollar Baby (2004) 	1,106 user
194	184 critic	"9 October 1987 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.1/10 "	292,710	"
PG
| 
                        1h 38min
                    
|
Adventure, 
Family, 
Fantasy
|
9 October 1987 (USA)

 "	tt0093779	"
                        1h 38min
                    "	The Princess Bride (1987) 	717 user
